Fiscal Year,County,Content Area,Test Level,Subgroup/Ethnicity,Number Tested,Percent Passing,Percent Performance Level 1,Percent Performance Level 2,Percent Performance Level 3,Percent Performance Level 4
2018,Apache,English Language Arts,All,All Students,7222,23,57,20,19,5
2018,Apache,Math,All,All Students,7107,27,50,23,21,6
2018,Apache,English Language Arts,All,Female,3522,27,50,22,22,5
2018,Apache,English Language Arts,All,Male,3700,20,63,17,16,4
2018,Apache,Math,All,Female,3450,29,47,24,22,6
2018,Apache,Math,All,Male,3657,25,53,22,19,6
2018,Apache,English Language Arts,All,Homeless,25,28,48,24,24,4
2018,Apache,Math,All,Homeless,25,28,44,28,20,8
2018,Apache,English Language Arts,All,Economically Disadvantaged,1453,23,57,20,19,4
2018,Apache,Math,All,Economically Disadvantaged,1356,25,48,27,20,5
2018,Apache,English Language Arts,All,Limited English Proficient,549,2,89,10,*,*
2018,Apache,Math,All,Limited English Proficient,537,5,81,14,*,*
2018,Apache,English Language Arts,All,Students with Disabilities,829,4,89,7,3,<2
2018,Apache,Math,All,Students with Disabilities,822,8,79,14,7,<2
2018,Apache,English Language Arts,All,Asian,14,57,29,14,29,29
2018,Apache,English Language Arts,All,African American,23,35,48,17,*,*
2018,Apache,English Language Arts,All,Hispanic/Latino,425,32,49,19,27,5
2018,Apache,English Language Arts,All,American Indian/Alaska Native,5573,17,64,20,14,2
2018,Apache,English Language Arts,All,Native Hawaiian/Other Pacific Islander,*,*,*,*,*,*
2018,Apache,English Language Arts,All,Two or More Races,48,25,50,25,19,6
2018,Apache,English Language Arts,All,White,1134,52,28,20,37,15
2018,Apache,Math,All,Asian,14,57,21,21,29,29
2018,Apache,Math,All,African American,23,30,30,39,*,*
2018,Apache,Math,All,Hispanic/Latino,404,37,39,24,27,10
2018,Apache,Math,All,American Indian/Alaska Native,5514,21,57,23,17,4
2018,Apache,Math,All,Native Hawaiian/Other Pacific Islander,*,*,*,*,*,*
2018,Apache,Math,All,Two or More Races,45,20,36,44,16,4
2018,Apache,Math,All,White,1103,52,23,24,36,17
2018,Apache,Math,Algebra I,All Students,701,27,54,19,23,4
2018,Apache,Math,Algebra II,All Students,666,18,60,22,17,<2
2018,Apache,English Language Arts,Grade 10,All Students,783,19,67,14,14,5
