web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572833702-9552","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Senior AI and Decision Aids Research Analyst","https://www.indeed.com/rc/clk?jk=aa6b8da61791cb00&fccid=7c60e205aab51bb4&vjs=3","Senior AI and Decision Aids Research Analyst","Torch Technologies, Inc.","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=30","null","Torch Technologies, Inc.-Huntsville, AL 35802","Job Description:

Torch is currently seeking a senior level researcher/analyst to support investigations of the application of artificial intelligence (AI) technologies for constructing decision aids to enhance operational performance of a new generation of short range air defense systems. The candidate will be responsible for investigating a broad range of AI technologies to include supervised & unsupervised machine learning, deep learning, and general intelligence reasoning systems. The candidate will work as part of a small research team investigating design patterns for AI systems integration and will recommend conceptual designs and prototyping strategies for demonstrating the viability of AI based decision aids. The candidate will also explore man-machine interaction concepts for using the decision aids in the context of a weapon system's conduct of fire.



The candidate must meet the following requirements:


A Doctorate degree in Engineering, Computer Science, or related technical discipline plus 10 or more years directly related experience.
Experience developing machine learning algorithms using GPU accelerated computing.
Experience programming with Python, C++, MatLab, R, CUDA, and Tensorflow.
Experience developing and evaluating machine learning algorithms built using training data collected from Monte Carlo simulation runs.
Experience writing technical reports and conducting technical presentations.
Experience developing and integrating prototype systems.
This position requires the selected candidate have an active Secret-level clearance.

An ideal candidate will meet the following preferred requirements:




First hand experience with military training methods.
First hand experience operating and maintaining tactical weapon systems.
Experience conducting validation & verification of M&S technologies.
Experience managing small teams.
Experience in developing research proposals and conceptual designs.
Familiarity with high fidelity 6DOF missile models.
Familiarity with agent based models."
"1572834609-9585","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Artificial Intelligence Solutions Analyst","https://www.indeed.com/rc/clk?jk=8eb8e5bc593d0e02&fccid=0e98201756dba0a1&vjs=3","Artificial Intelligence Solutions Analyst","Regions Bank","3.7 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=10","2,462","Regions Bank2,462 reviews-Hoover, AL","At Regions, the Operations Analyst investigates individual workflows and business procedures, compiles and reports volume, productivity, quality and other statistical data.
Primary Responsibilities
Creates and maintains databases and spreadsheets; provide periodic reports to management.
Coordinates, monitors and completes daily reports used in the work unit
Creates and maintains policies, procedures and training materials to maximize efficiency and customer service
Works with supervisors and/or managers to ensure that teams comply with the stipulated principles and standards
This position is exempt from timekeeping requirements under the Fair Labor Standards act and is not eligible for overtime pay.
Requirements
Bachelors degree in Business, Data Management, Statistics, Math, Economics or related field with two years of relevant experience
High school diploma or GED with five years of direct analyst experience
Demonstrated analytical and problem solving skills
Demonstrated ability to collaborate with both technical and business staff
A fundamental understanding of project management
Skills and Competencies
Fully proficient in Microsoft Office (Word, Excel and Power Point)
Problem solving and investigative skills
Excellent organization and time management skills
Report writing, including charts, graphs, etc.
Aptitude for math and the ability to review and understand numeric data, graphs, and statistics.
Detailed and thorough
Ability to work equally well on self-managed or team-oriented projects.
Proactive and adaptable
Excellent communication skills – must be able to translate complex issues to multiple levels in the organization
Ability to multi-task
Position Type
Full time
Location Details
Riverchase OPS Center
Location:
Hoover, Alabama
EEO/AA/Minorities/Females/Disabled/Veterans"
"1572834897-9598","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Data Scientist","https://www.indeed.com/rc/clk?jk=8baf1f235532df3e&fccid=d2841a5c0380b93d&vjs=3","Data Scientist","CGI Group, Inc.","3.7 out of 5","","","2,547","CGI Group, Inc.2,547 reviews-Birmingham, AL 35202","Position Description:

Do you want to take your career to the next level? Are you ready to work with working with high-profile, enterprise clients? CGI is looking for a talented and data science engineer to join the CGI team located in Birmingham, AL. In this position, you will utilize your analytical skills to lead local clients to guide them on their data science journey. Plus, you will be part of a team of smart, dedicated people, like yourself, looking to make an impact with both internal and client stakeholders.



Your future duties and responsibilities:


Participate in the full software development life cycle from scoping, analysis, design, implementation, and quality assurance to delivery and support
Develop data analytical solutions using the toolsets and technologies identified below
Use quantitative and analytical techniques to accelerate profitable growth and customer engagement - unlocking value across all functional areas of business
Assist developers and analysts in conceptualizing, validating, and prototyping solutions that meet business requirements

Required qualifications to be successful in this role:


Must have a consultative mindset and be comfortable working individually or with a team
Works with large, structured, and un-structured datasets
Uses Big Data tools (Hadoop, Spark, H2O, CDSW, Domino Labs, etc.) to build data analytics solutions
Builds machine learning and Artificial Intelligence (AI) models from development through testing and validation
Designs rich data visualizations to communicate complex ideas to business leaders and executives
Draws insights from data to make quick, well informed decisions with available information
Primarily focuses on daily deliverables of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed
Deep understanding of statistical and predictive modeling concepts, machine learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
Expertise in analyzing large, complex, multi-dimensional datasets using a variety of tools like Python, R, Statistical Analysis System (SAS), or Statistical Package for the Social Sciences (SPSS)
Comfortable with both relational databases and Hadoop-based data mining frameworks
Advanced Structured Query Language (SQL) skills
Proficient in visualization tools like Power Business Intelligence (BI), Tableau
Experience in banking/financial services a plus
Experience working with Agile development teams
Excellent verbal and written communication skills with a proven track record in working with business users to manage expectations and address issues
Bachelor's Degree

Skills:


SAS
SQL
Hadoop Hive

What you can expect from us:

Build your career with us.



It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities.



At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.



Be part of building one of the largest independent technology and business services firms in the world.



Learn more about CGI at www.cgi.com.



No unsolicited agency referrals please."
"1572834696-9589","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Data Scientist","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmPt6JXytAhZscz-5ZOP53MMQ49Xi4hmwETo1lvmuAlRKltylOWjxxwWxZl-yROKLJgbair-3sLlhulXW2JsrB4eJl6TIhSaFtz24QrwdWRV18vJqvhEpK1CKBCGR9BHO6CpTFZZXKw16x6KEFRbsw75jXhIFJVWlYykeredoPqdhHkLD5LTSKTbB6QMMNPdbqTkDfen9JyHUI3Mxv8Wr5FNgqL5pMnzfYY8ipu9vpzZemg1RnWYnTaWMlqevPUJ0JVJ6hqB9dib1Urt2QvMce5B58Y9JFRHCrRWtrVEi2c6qbCTuJs5SxvqXw4U7tCmkqt9cx4y4S85C9zx4Gu4-zkIiJBgUb_nDj82i_2fa3IfLYvtXLg6nFHsljVk_G5Fcp55fEOZkNfD6DJElUk-C7I44Thc135hYvGU6itsKP1FgXv4gRTaGrrO1e5rgTwWA3ojRhAl5ErQ==&p=1&fvj=0&vjs=3","Data Scientist","CGI Group, Inc.","3.7 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=10","2,547","CGI Group, Inc.2,547 reviews-Birmingham, AL 35202","Position Description:

Do you want to take your career to the next level? Are you ready to work with working with high-profile, enterprise clients? CGI is looking for a talented and data science engineer to join the CGI team located in Birmingham, AL. In this position, you will utilize your analytical skills to lead local clients to guide them on their data science journey. Plus, you will be part of a team of smart, dedicated people, like yourself, looking to make an impact with both internal and client stakeholders.



Your future duties and responsibilities:


Participate in the full software development life cycle from scoping, analysis, design, implementation, and quality assurance to delivery and support
Develop data analytical solutions using the toolsets and technologies identified below
Use quantitative and analytical techniques to accelerate profitable growth and customer engagement - unlocking value across all functional areas of business
Assist developers and analysts in conceptualizing, validating, and prototyping solutions that meet business requirements

Required qualifications to be successful in this role:


Must have a consultative mindset and be comfortable working individually or with a team
Works with large, structured, and un-structured datasets
Uses Big Data tools (Hadoop, Spark, H2O, CDSW, Domino Labs, etc.) to build data analytics solutions
Builds machine learning and Artificial Intelligence (AI) models from development through testing and validation
Designs rich data visualizations to communicate complex ideas to business leaders and executives
Draws insights from data to make quick, well informed decisions with available information
Primarily focuses on daily deliverables of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed
Deep understanding of statistical and predictive modeling concepts, machine learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
Expertise in analyzing large, complex, multi-dimensional datasets using a variety of tools like Python, R, Statistical Analysis System (SAS), or Statistical Package for the Social Sciences (SPSS)
Comfortable with both relational databases and Hadoop-based data mining frameworks
Advanced Structured Query Language (SQL) skills
Proficient in visualization tools like Power Business Intelligence (BI), Tableau
Experience in banking/financial services a plus
Experience working with Agile development teams
Excellent verbal and written communication skills with a proven track record in working with business users to manage expectations and address issues
Bachelor's Degree

Skills:


SAS
SQL
Hadoop Hive

What you can expect from us:

Build your career with us.



It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities.



At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.



Be part of building one of the largest independent technology and business services firms in the world.



Learn more about CGI at www.cgi.com.



No unsolicited agency referrals please.



CGI is an equal opportunity employer.



Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.



CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com. You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned.



We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.



All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held.



CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information."
"1572834382-9575","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Junior Data Scientist","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBcAKkMzvCCr3nbIFWZL1QEvzVdjPQKoc8nhQ-JuLQpxzqVVUHoHuUUuWjWLNA8-ite8BZ9QygI5L9qsI9P-1IZe0eokfFdTc5HrxB19fFNm5XmVCU7U60LveW7dROsUZNk7gcCDDkiTmV_Cpdqii2UAOnRkZ7DVJKDxm7r-Tjf8GxnKSxJ5dLwtH0xiQWnDuDI80dVpIu18UnUPEmFz2d44alrZR4xxltTDEfUDHV9pKILC2EXejTv6KTb8EpPXDOPzE1yu5bDISjlBmzOV0blz4II9i6eNcEiO5x0LMIIoE0kk--KrX1_NV5Wpju5VufOzvu1ZvbZxUmH840M6EO6psr9uhfrSHsXrK4SN4JZ_ut5ZkHpezVOhvOj8638LTUZ7TQGpRk4s6Oj30-VZFG8DVSUdmTsF9pTOPoKNjwg832Evr5comB1EKUr_oPWjI=&p=0&fvj=0&vjs=3","Junior Data Scientist","ITAC Solutions","4 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=20","39","ITAC Solutions39 reviews-Birmingham, AL 35233","ITAC is assisting a growing, local Birmingham based client in their search for a Junior Data Scientist!
We are looking for junior and mid-level data scientists that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
If you possess a data driven personality and can flourish in a dynamic environment, this position may be ideal for you.
What you’ll be doing (duties of this position):
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods while enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Creating automated anomaly detection systems and constant tracking of its performance
Re-frame objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Experience applying quantitative methods to extract value from complex data-sets
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build data-based products and help integrate into the products and operational processes.
Enhance data collection procedures to include information that is relevant for creating better data models.
What you’ll need to be considered (requirements):
Bachelors or Master’s Degree or equivalent, relevant experience and skills required
1-3 years of experience hands-on technical Data Scientist in technology sector.
Python experience and Data Modeling in a professional environment is a MUST!
Demonstrated ability to present data science results and recommendations to business and technical clients.
Demonstrated delivery of machine learning techniques in real-time applications.
Expertise in modern statistics/data science/machine learning.
Experience with reporting is required; experience analyzing big data is a plus
Expertise in a statistical programming language (Python, R) and data access tools (SQL, Advanced Excel).
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.
What could set you apart from the rest (preferred skills / experience / knowledge):
Machine Learning and AI Experience
Robust digital portfolio of advanced data science projects
Deep Learning specialization (NLP, Computer Vision, Sequence-to-Sequence, Deep Reinforcement Learning)
Expertise in data science DevOps (Code Testing, Git Version Control, etc.)
Active in data science community showcasing thought-leadership on digital and offline (meetup) forums
Published Blogs, Tutorials, or Research Papers"
"1572834160-9565","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Cyber Security Data Scientist","https://www.indeed.com/rc/clk?jk=14eb18a63ec2719e&fccid=d79322304dc3331d&vjs=3","Cyber Security Data Scientist","Global Resource Solutions","3.9 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=20","32","Global Resource Solutions32 reviews-Huntsville, AL 35898","Global Resource Solutions, Inc. (GRS) is seeking an enthusiastic, motivated and talented individual for the position Cyber Security Data Scientist.


Job Description:


Summary: Global Resource Solutions has an immediate opening for an Cyber Security Data Analyst. This position provides an opportunity to further advance the cutting-edge technology that supports some of our nation’s core defense/intelligence services and systems. Global Resource Solutions employees work closely with esteemed customers to develop solutions that allow them to carry out high-stakes national security missions.


Essential Duties & Responsibilities:


Responsible for leading and managing the day-to-day operations of the storage area network (SAN) team. Oversees all aspects of the SAN architecture, providing insight on the design, backup strategies, and networking. Manages project and workloads of SAN team, overseeing system analysis activities, troubleshooting, and incident management. Develops per customer requirements and designs solutions related to Big Data, Data Governance, and large scale date search and storage. Plans workspaces, workloads, storage projects, and other administrative tasks associated with the management of the SAN.

Provide technical consulting, assistance, and enablement of storage concepts to customers using a mixture of Linux and windows technologiesEnsure customer engagements always result in high levels of customer satisfactionEngage customers regarding requirements analysis, document business use cases, prioritize requirements, and design custom-tailored storage solutions.This position requires an engineer to assist with the architectural, engineering, administration of the Storage Infrastructure, as well as participate in the change process and incident response process present features and benefits of our offerings to customers, while adhering to industry best practices.Answer questions using your knowledge of Storage system and sophisticated processesWork with the Engineering team and clearly communicate problems and solutionsDevelop and deliver relevant solutions, including workshops, migration tools and guides, reference architectures, and related solutions collateral.Help escalate and resolve customer technical support issues.Work on projects and lead in the migration of the current infrastructure from Hosted to a Cloud environment.Create engineering documentation based from architectural designs.Create, update and utilize standard operating procedures.Work with other Team Leads and Manager to maintain organizational goals.Provide Level 3 escalation for Storage Operations team


Requirement:


Bachelor's degree in engineering or a related technical field and is required plus a minimum of 10 years of relevant experience; or Master's degree in engineering or a related technical field plus a minimum of 8 years of relevant experience.


Relevant Experience:


Bachelors of Science degree in Computer Science, Computer Engineering, a related specialized area or field is required (or equivalent experience) plus a minimum of 15 years of relevant experience leading and managing the operations of a storage area networks, specializing in SAN architecting; or Master's degree plus a minimum of 10 years of relevant experience leading and managing the operations of a storage area networks, specializing in SAN architecting. Cloudera Certified
Professional: Data Scientist (CCP: DS), AWS Certified Solutions Architect Professional, Certified Cloud Security Professional (CCSP), Certified Information Systems Security Professional (CISSP), and other related certifications are highly desired.


Security Requirements:


TS/SCI with Polygraph, obtainable within reasonable time based on requirements


Skills:

Capable of working on complex problems of diverse scope or situations or data that requires in-depth evaluation of variable factorsExercises judgment in selecting methods, techniques and evaluation criteria for obtaining resultsDetailed and very strong knowledge of technology trends and champions new ideas and product and process improvementsStrong ability to excel at the development of new theories and methodsStrong awareness of business objectives and Engineering's role in achievingStrong ability to be creative, innovative and responsible, and able to master advanced decision-making skillsStrong ability to grasp and apply new information quicklyShows initiative on assignments, and professionally executes projects as a technical SME and leader with little or no directionStrong ability to be a team player who thrives in collaborative environments and revels in team success, meeting and exceeding personal and team commitmentsStrong written and verbal communications skillsStrong ability to recognize and clearly report relevant informationStrong troubleshooting skillsSolid grasp and deep curiosity of industry trends in the storage and adjacent technical areas.Knowledge of Eucalyptus, Apache CloudStack or Vmware vSphereMust have experience managing EMC VNX and NetApp or an equivalent Storage environmentsMust have experience in various deployment models of technology within a customer-facing hosted cloud; SaaS, PaaS, IaaS environment.Must have experience designing in a cloud-based service provider environment.Must have experience with software-defined storage technologies; Red Hat Ceph Storage or Red Hat Cluster Storage, and Distributed File System using Ceph technologies.


Physical Requirements: This position requires employees to be willing and able to: sit, bend, reach, stoop, squat, stand, and walk.


Communication: Excellent customer service via phone and face to face conversation, excellent written and oral command of English.


An exciting and rewarding career awaits you with Global Resource Solutions, Inc. (GRS). GRS is a management consulting company to government and business that offers great career opportunities and a comprehensive slate of employee benefits to our employees including medical, dental, vision, short/long term disability, life insurance and a retirement plan. GRS is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status."
"1572834742-9591","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Junior Data Scientist","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBcAKkMzvCCr3nbIFWZL1QEvzVdjPQKoc8nhQ-JuLQpxzqVVUHoHuUUuWjWLNA8-ite8BZ9QygI5L9qsI9P-1IZe0eokfFdTc5HrxB19fFNm5XmVCU7U60LveW7dROsUZNk7gcCDDkiTmV_Cpdqii2E1ipiG3H80zDR-JWdohf_Zj_O3pEg4oYPf02yGJzTLqgZyywXGEvc6QzICyRWcLnYCXrfJG5SK8hkyEPIUVgSU1ZiKzIc9fA7HNtw8EBv71WyIsJ3LsYX-r6v_HVXipLWWxFD0KKTqxbH3J7vmBwUeetS0h210sq47pB5WMsR5iNH5gUry3WRIzQlik96D9-eru1PjHaqjHZgEGURwwFsZ5P4bN2t95U4lfFxuNtQLNkmW_M_RhS__dSbQrvAcyEVVHCOmpswXNA-_0gX-rVbq8oIhZI3ZVL&p=14&fvj=0&vjs=3","Junior Data Scientist","ITAC Solutions","4 out of 5","","","39","ITAC Solutions39 reviews-Birmingham, AL 35233","ITAC is assisting a growing, local Birmingham based client in their search for a Junior Data Scientist!
We are looking for junior and mid-level data scientists that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
If you possess a data driven personality and can flourish in a dynamic environment, this position may be ideal for you.
What you’ll be doing (duties of this position):
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods while enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Creating automated anomaly detection systems and constant tracking of its performance
Re-frame objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Experience applying quantitative methods to extract value from complex data-sets
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build data-based products and help integrate into the products and operational processes.
Enhance data collection procedures to include information that is relevant for creating better data models.
What you’ll need to be considered (requirements):
Bachelors or Master’s Degree or equivalent, relevant experience and skills required
1-3 years of experience hands-on technical Data Scientist in technology sector.
Python experience and Data Modeling in a professional environment is a MUST!
Demonstrated ability to present data science results and recommendations to business and technical clients.
Demonstrated delivery of machine learning techniques in real-time applications.
Expertise in modern statistics/data science/machine learning.
Experience with reporting is required; experience analyzing big data is a plus
Expertise in a statistical programming language (Python, R) and data access tools (SQL, Advanced Excel).
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.
What could set you apart from the rest (preferred skills / experience / knowledge):
Machine Learning and AI Experience
Robust digital portfolio of advanced data science projects
Deep Learning specialization (NLP, Computer Vision, Sequence-to-Sequence, Deep Reinforcement Learning)
Expertise in data science DevOps (Code Testing, Git Version Control, etc.)
Active in data science community showcasing thought-leadership on digital and offline (meetup) forums
Published Blogs, Tutorials, or Research Papers"
"1572834989-9602","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Manager of Data Analytics","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBcAKkMzvCCr3nbIFWZL1QEvzVdjPQKoc8nhQ-JuLQpxzqVVUHoHuUUuWjWLNA8-gxd-_KmOsP5lILZ3SXxyzK1HLVvYiSS4rT5SOF-z4PMNqQ2HWN_R8PWYaaj8YuNuiKRogQ6B9j9nIksAEpQIU12Tk5Tk-g4a-jYV9eC9ghrapw76Z4pob5rywyyA-BST3VrKrw_ePIZGO_zQ38tQU5ZgpHfVVbHoJ1E4xqZyihXubkZBji_L8zo0iFYTuFNueOeS8atY3qaNFaMQ9FT4KT-c-cdjlxnG7WcRRQeb0lzd9ajxai5Du9YdnDtqMnTgSJNoQQRd3LA6gTNAsaPKCFDVQTMvsr3uCp8eUmjk16jqxBHD44Hfgrmf-T442lFBER5kGvKKnYXOAVvZXPNKYM3Ra2AEKNcxBatyBqbL-eur3NMph3XOjdT8Zpg2V8qVk=&p=3&fvj=0&vjs=3","Manager of Data Analytics","ITAC Solutions","4 out of 5","","","39","ITAC Solutions39 reviews-Birmingham, AL 35233","ITAC is assisting a fantastic Birmingham based client in their search for a Manager of Data Science!


We are looking for a leader first and a true Data Scientist, second. Our client values true leadership of other bright and talented data enthusiasts who can handle all the challenges that come their way.
This person will also be hands-on in high-level data analytics and application design regarding artificial intelligence and creating plans to best fit client needs.


If you possess a data driven personality, leadership qualities, and can flourish in a dynamic environment, this position may be ideal for you.


What you’ll be doing (duties of this position):
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods while enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Creating automated anomaly detection systems and constant tracking of its performance
Re-frame objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Implement and execute machine learning with reliability .
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build data-based products and help integrate into the products and operational processes.
Enhance data collection procedures to include information that is relevant for creating better data models.
What you’ll need to be considered (requirements):
Bachelors or Master’s Degree or equivalent, relevant experience and skills required
5-7 years of experience hands-on technical Data Scientist in technology sector.
Demonstrated ability to present data science results and recommendations to business and technical clients.
Demonstrated delivery of machine learning techniques in real-time applications.
Expertise in modern statistics/data science/machine learning.
Experience with reporting is required; experience analyzing big data is a plus
Expertise in a statistical programming language (Python, R) and data access tools (SQL, Advanced Excel).
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate
Working knowledge of Asset Analytics and Collection Administration software is preferred"
"1572833697-9551","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Computer Vision Software Engineer","https://www.indeed.com/rc/clk?jk=9c2b9785d1837ffb&fccid=fd03a1a845b02aae&vjs=3","Computer Vision Software Engineer","Mitre Corporation","4 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=30","234","Mitre Corporation234 reviews-Huntsville, AL 35806","Computer Vision Software Engineer - (00053702)
Description

Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The Research & Development centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world.


MITRE is actively seeking software engineers/computer scientists with experience in computer vision applications and neural networks to join our team in delivering innovative technical solutions to the Department of Justice. The successful candidate will work in a small team to apply deep learning and artificial intelligence to both image and video technology.


Responsibilities include:


Expertise in at least one of the following technology areas: machine learning, algorithm development, deep learning, artificial intelligence, and neural networks.
Domain knowledge of machine learning and computer vision techniques for classification, detection, key attribute extraction, segmentation, or activity detection.
Strong problem-solving skills and capacity to work with scientists, analysts, and technical software developers across several technical disciplines.
Demonstrated software development or algorithmic scripting skills with proficiency in multiple development languages – e.g. C, C++, Python and Java.



Qualifications

Basic Qualifications:
Bachelor's Degree in Computer Science, Data Science, Applied Mathematics/Statistics, Operation Research, or related field
At least 5 years of successful experience
Secret Clearance Required
Other Qualifications:
Proficiency in use of Microsoft Office including Outlook, Excel, and Word
Must have demonstrated proficiency and strength in verbal, written, PC, presentation, and communications skills
Ability to possess and maintain Top Secret Clearance level

Preferred Qualifications:


Advanced degree in related technical field of study
Existing Secret/TS Clearance
Experience with Generative Adversarial Networks (GANs)
Demonstrated Data Science skillset.
Experience with real-world, messy data.
Knowledge of image modification and synthesis techniques.
Proficiency with Python's scientific computing and machine learning ecosystem such as NumPy, SciPy, Pandas, Matplotlib, and scikit-learn.
Comfortability working with Linux-based environments and servers.


MITRE’s workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. For more information please visit https://www.mitre.org/careers/working-at-mitre. U.S Citizenship is required for most positions.

Primary Location: United States-Alabama-Huntsville
Other Locations: United States-West Virginia-Bridgeport
Work Locations: Huntsville, Alabama 35806
Job: SW Eng, Comp Sci & Mathematics
This requisition requires a clearance of: Secret
Travel: Yes, 15 % of the Time
Job Posting: Oct 10, 2019, 7:56:55 AM"
"1572834584-9584","https://www.indeed.com/jobs?q=data+scientist&l=Alabama","Data Analyst","https://www.indeed.com/rc/clk?jk=00f6549a2ab9b1cf&fccid=c20166dea913bffc&vjs=3","Data Analyst","KBRWyle","3.8 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Alabama&start=10","228","KBRWyle228 reviews-Huntsville, AL","Title:
Data AnalystKBR is seeking a Data Analyst. As part of a team providing IT governance, you will work with service managers, governance, portfolio managers, and project managers to derive the most meaningful metrics to track data based on the mission at hand. Having a knack for telling a story through graphs, charts and numbers will serve you well in this role. Metrics will be developed following best practices, including ITIL concepts. As part of a dynamic team, you may also be asked to assist with business case analyses for identifying preferred IT solutions in terms of cost, schedule, and risk; and provide input on big data/artificial intelligence projects. WHO WE ARE: KBR Government Solutions delivers mission critical, full life cycle services that improve military readiness, drive innovation, and help ensure mission success. Since WWII, we have led many of the federal government’s most important programs in the areas of defense, space and technology. Today, our employees are solving some of the world’s most challenging problems and inspiring the future. KBR Government Solutions core capabilities include engineering, operations, logistics, science, program and acquisition management, IT, cyber and security services. Learn more about KBR by visiting www.kbr.com/careers.
Scheduled Weekly Hours:
40"
