web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572880517-1550","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Data Scientist","https://www.indeed.com/rc/clk?jk=ef624eea31a5d42d&fccid=70a994275a3b9062&vjs=3","Senior Data Scientist","Garmin","3.8 out of 5","","","238","Garmin238 reviews-Olathe, KS 66061","As a leading worldwide provider of navigation devices and wearable technology, our focus is on developing, designing and supporting superior products. Our advanced technology promotes performance, safety and ease of use in every market we serve. That makes us an engineering and technology company with a keen focus on recruiting talent in those fields. But the same vertical integration business model that keeps all design and manufacturing processes in-house also gives us the incentive to hire top performers from different backgrounds, including operations, finance and accounting, information technology, sales, marketing and communications.


Associates get the royal treatment at Garmin. Regardless if you’re a newbie or a veteran, engineers dream it, design it and use it. Here, you will be surrounded by others who share the same passion about what they do every day. We offer a relaxed team environment (no dress code!) where advancement is found from sharing knowledge, not hiding it! While we promise you a lot of responsibility, you also will have the opportunity to have ownership over projects…oh, and we promise you there will be some fun mixed in there, too!

We are looking for a Sr. Data Scientist for our headquarters in the greater Kansas City area. In this role, you will support the segments through advanced data analytics of our data. This position will help inform business decisions, feature development and improve user engagement. Other essential functions include:

 • Identify opportunities for leveraging company data to drive business solutions.

 • Mine and analyze data to drive optimization and improvement of Connect user engagement (Garmin Coach confidence, activity analytics, etc), product development, marketing techniques and business strategies.

 • Assess the effectiveness and accuracy of new data sources and data gathering techniques

 • Develop custom data models and algorithms to apply to data sets

 • Use predictive modeling to increase and optimize user experiences, revenue generation, and other business initiatives

 • Coordinate with different functional teams to implement models and monitor outcomes

 • Develop processes and tools to monitor and analyze model performance and data accuracy

 • Possess a drive to learn and master new technologies and techniques

 • Visualize and present data for stakeholders using intriguing and interesting graphics/technologies

 • Mentor junior team members


OTHER RESPONSIBILITIES:
 • Provide quarterly classes for team members to learn Data Science techniques and technologies
 • Improve efficiency of existing MR jobs, or replace with more recent technologies
 • Perform other job-related duties as assigned


Qualifications

Qualified candidates will possess a Master of Science in Computer Science, with Data Science Emphasis with 4+ years Data Science experience (emphasis may be in Machine Learning, Mathematics or Statistics if relevant experience is accompanied)

 • Will serve as part of an on-call rotation

 • Experience with Java, Map Reduce, SQL, Scala, Machine Learning



DESIRABLE QUALIFICATIONS:

 • Experience with SQL Server

 • Experience with Hadoop ecosystem and components (Spark, Hive, HBase, HDFS, Storm, Kafka)

 • Nice to have: Experience in Data Warehousing, ETL, SSRS, etc.


Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.


Job Engineering
Primary LocationUS-KS-Olathe
Organization Consumer Engineering
Schedule Full-time"
"1572880495-1540","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Statistical Programmer","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPiPBVS3KmjTqjymWZvPzPJEsEe9JFHhSvGO4UmOZP0lA65c438vmlwBB6B3UrjSoyRcug2DIYsHHgm6qMDM20mSmAOzSS80Xm92j39I0-cO0RuwWCsn1ciSM30SWlbj7XKw8RwcBqGVGtrBFFnXI6gUnfap7jcnWGDHwTOLX4SSj8XFet6nfcgz22AolNlF4-w4HKs0q8yZE4ZZNUP8C-AxZvnuX4YQzXYp_dv9JGq_uii57O8FnwvDDXvLUdSIdJUqytN63HcCJylNwKWrVGiYkn8JDc7-a9X16nSUun_zwl_Ih65pwz56DdmjSvuUXx_ysvplw7FqEwvSFiS6R5sFEs8MGMQbcmHP3wQfT5r1puw5Xj80achH0a0SroGps3aaW03KBmE33k4LJU-FacQzoB5NCHNVEylwFrz2ODqlyY8gSHzm7o9WgF6hS5X27KXesvdS7jlobKvKHVVvI8T2ZQ6ObhNUfi8hY3k6VabFY_-B4N6-BLpWsT3bHkEZBUyruLB4nbjc2Z-cFHKgMLFKCXt6YbouA5IlirP2PVSoi80uE7zXaXUptIgovDvG4DJ4YR0muznnfYBNc6pw98R39ajd0HRZzHXAyzx8_eiBFsrvyCx2czws9Y91e4UudpzgIglfiSlN9ed4wKNJpcxnabvQd7m1qhY9EJkvvni1COtJIdibNNZvw5FAe8tpcwJMUBt0GeAygffRRmM8sVmk4jtZ4Y9tKiH-5s21zXZc-EvTuhHJrrHZSqldYNUl7yWcu2ehxlNlyGW8JhUuloZdznH-9rq34=&p=2&fvj=0&vjs=3","Statistical Programmer","United BioSource Corporation.","3.3 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0&start=10","160","United BioSource Corporation.160 reviews-Kansas City, KS","Brief Description: Write, modify and maintain programs which produce analysis data sets, data listings and summary tables of average complexity as specified in Statistical Analysis plans




Requirements:




Minimum of 2 years of statistical programming experience in the pharmaceutical industry or a comparable skill set


Solid understanding of and experience with:
SAS/Base
SAS Macro Facility
Database design principles
Basic statistical concepts and procedures


Working knowledge of Microsoft Office products


Good communication and organizational skills


Ability to work both independently and as part of a project team


BS/BA or equivalent preferred


Specific Job Duties:




Write, modify, and maintain programs which produce or validate data sets, tables, and listings of average complexity for assigned projects


Write, modify, and maintain programs that perform complex data checks for review


Prepare and maintain project documentation related to programming activities


Other duties as requested by management

#LI-TG1



ABOUT UBC



United BioSource Corporation (UBC) is a leading provider of pharmaceutical support services, partnering with life science companies to make medicine and medical products safer and more accessible. Our services support the full lifecycle of medicine and medical products, including development, commercialization, and long-term value and safety.



While UBC offers employment within Patient Support, Nursing, Pharmacy and Corporate, two main focus areas for the company are Clinical Development & Research and Safety & Risk Management. Members of the Clinical Development and Research teams help evaluate study protocol, target study population, recruit physicians and patients, and collect, clean, validate and report data. As a result, sponsors are able to submit findings to regulatory authorities or make a no-go decision in a timely and clear-cut manner. Additionally, our Safety and Risk Management teams develop, deliver, and report evidence to reinforce safe and appropriate product use.



Through our Patient Access services, we help patients begin therapy quickly and remain on therapy, building strong relationships with patients to ensure optimal care.

You can find out more by visiting



www.ubc.com"
"1572880512-1548","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Data Analyst","https://www.indeed.com/rc/clk?jk=9175e25e3571b148&fccid=3fc872762daaa4f5&vjs=3","Senior Data Analyst","The University of Kansas Medical Center","3.9 out of 5","","","192","The University of Kansas Medical Center192 reviews-Kansas City, KS","This Senior Data Analyst will work with a progressive research team providing statistical support and consultation in the areas of data management and quality control, clinical trial design and statistical analysis for a division research team. In this position, the Data Analyst will be responsible for the preparation of statistical analysis and reports for various clinical studies, manuscripts, and grants, as well as, the management of large clinical datasets.
Required Qualifications
1. Master’s degree in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research

2. Experience in principal and advanced statistical methods

3. Experience in working with large datasets (clinical data considered a plus)

4. High level proficiency, experience, and working knowledge of SAS (R and STATA considered a plus)

5. Efficiency in the use of Microsoft Office, Excel and Access

6. Ability to effectively communicate statistical methods and results

7. Experience working in a multi-disciplinary setting and/or team

8. Details-oriented with excellent organizational skills

9. Flexibility and adaptability to work under tight deadlines or changing needs

10. Ability to maintain confidentiality

11. At least has two years working experience
Preferred Qualifications
1. PhD in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research

2. Proficiency in advanced analytical theories, predictive modeling, data mining, and data extraction.

3. Experience in clinical and health services research

4. Expertise in using various statistical software (SAS, STATA, R, and SPSS)

5. Evidence of scholarship in related field
Environment Laboratory Physical Requirements Medium Probation Status
Subject to the regulations of the State of Kansas, the Board of Regents and the University of Kansas Medical Center, I understand and agree that I may be subject to a probation period and during the probation period I serve at the pleasure of the Executive Vice Chancellor of KUMC and my employment may be ended at any time during that period.
Hiring Range EEO Statement
KU Medical Center is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disability status, or genetic information.
Job Duties
Description of Job Duty
Provide biostatistical consultative service to investigators on clinical database, quality control, trial design and statistical analysis plans.


Job Duties
Description of Job Duty
Analyze clinical trial data and large clinical datasets for faculty and investigators


Job Duties
Description of Job Duty
Work with a team to provide support on research data management, quality control and analysis


Job Duties
Description of Job Duty
Extract significance and implication from data analysis and clinical databases


Job Duties
Description of Job Duty
Effectively communicate study findings and interpretations to investigators


Job Duties
Description of Job Duty
Perform additional data analysis and related duties as assigned by the supervisor


Job Duties
Description of Job Duty
Assist with publication and dissemination of research findings to the public and professional societies.


Job Duties
Description of Job Duty
Other duties, as assigned."
"1572880506-1545","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Machine Learning Engineer","https://www.indeed.com/rc/clk?jk=65b107404307fb77&fccid=a5d6553914fb729e&vjs=3","Senior Machine Learning Engineer","iCPRs","null","","","null","iCPRs-Kansas","Job category: Data Science Team

Location: United States – Kansas

We are looking for a full-time senior machine learning engineer to help develop our core ML algorithms and software tools to solve challenging questions in drug discovery research. You will develop, extend, and analyze new deep learning algorithms, as well as design and build data infrastructure and tools to manage, automate, and evaluate performance at scale.

Required Qualifications:

Ph.D. or M.Sc. in computer science, statistics, or related field, or equivalent practical experience
5+ years of extensive practical experience and proven track record of developing, implementing, debugging, and extending machine learning algorithms
Strong software engineering and software development skills and object oriented coding expertise in Python.
Experience developing data infrastructure and tools and familiarity with large-scale data processing technologies
Proficiency with the Linux environment
Strong analytical and quantitative skills.
Authorized to work in the US
Preferred Qualifications:

Knowledge of modern neural network frameworks such as Tensorflow, Torch, or Theano
Experience with cloud computing environments (AWS/Azure/GCE)
GPU programming using CUDA
Some biomedical knowledge or experience in processing chemical or biological data is preferred but not required
Relocation available: Negotiable

Travel required: Yes – up to 10%

Qualified applicants are considered without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, status as a protected veteran or other characteristics protected by law."
"1572880519-1551","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Data Scientist","https://www.indeed.com/company/Blue-Dart-Ventures/jobs/Data-Scientist-075cd4a7ca71decb?fccid=8f2b21977978fcae&vjs=3","Data Scientist","Blue Dart Ventures","null","","","null","Blue Dart Ventures-Overland Park, KS","The Data Scientist is responsible for building analytics methods to provide insights and solutions for complex business clients. This role will work closely with the Development team to ensure data is captured and creating actionable insights. This role will be required to have excellent communication skills in order to translate to multiple functioning departments. The Data Scientist will create various machine learning-based processes within the company and provide recommendations. The primary objective would be to derive predictive insights that lead to achieving business value.Essential Duties and ResponsibilitiesAccess the effectiveness and accuracy of new data sources and data gathering techniquesDevelop custom data models and algorithms to apply to data setsCoordinate with different functional teams to implement models and monitor outcomesDevelop processes and tools to monitor and analyze model performance and data accuracyIdentify opportunities for leveraging company data to drive business solutionsProvide statistical analysis of log/incident dataConducts statistical/econometric analysis to understand opportunities and diagnose issues having significant potential impact on business performanceDiscovers relevant data sources (internal and external), develops new tools and products for data mining/data analysis using a variety of tools and models.Assist developers in identifying emerging trends, driving use causes and identify scalable solutions associated with data science and promising new technologies.Understands client decision making and able to present information in a way that drives clarity in senior leader action.Build utilities, user defined functions, and frameworks to better enable data flow patternsUtilize web scraping techniques to extract and organize competitor dataModernize data streamline processes with redundancy reduction resultsIncrease data security but finding secure transmission practicesMay be required to perform other tasks as requested, assigned, or directed, and work extended hours during heavy workload periods.Knowledge, Skills and AbilitiesExpertise in a variety of machine learning techniques (supervised, unsupervised, deep learning, natural language processing, etc.) and their strengths/drawbacks.Expertise in machine learning and predictive analyticsProficient in Python, R, SQLExperience with common tools and packages, such as Jupyter, scikit-learn, TensorFlow, Spark MLlibQueries a variety of different data platforms: SQL Server, MongoDB, etc.Actively engages in key client activities (proposals, renewals, company meetings) to iteratively refine advanced technology prototypesStrong problem-solving skills using predictive analyticsPromote data science applications and methods in the companyPossess story-telling skill to explain technical works to broad audiencesMust be a team player and able to collaborate cross functionallyEducation and ExperienceBachelors Degree required in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering or related fieldMasters Degree preferred in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering or related field1-3+ years relevant work experienceExperience working on financial and transaction systems is a plus.Job Type: Full-timeExperience:relevant: 1 year (Required)Education:Bachelor's (Required)Location:Overland Park, KS (Required)Language:English (Required)Work authorization:United States (Required)Benefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time off"
"1572880510-1547","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Data Analyst","https://www.indeed.com/rc/clk?jk=a8a0c2197cddd9db&fccid=50eef5f5b08854c3&vjs=3","Senior Data Analyst","Sara Software Systems","null","","","null","Sara Software Systems-Olathe, KS","Sara Software LLC, Olathe, KS
Duties: Build complex software models that extract data from multiple source systems before being transformed and populated into the data warehouse. Deliver dashboards and reports using data visualization techniques. Collaborate with Data Architects, ETL developers, Business Analysts, Report Developers, DBAs, and business stakeholders to deliver scalable, efficient, and fault tolerant solutions. Analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. Consult on data and modelling impacts, guiding clients through interdependencies and analysis decision impacts. Execute project deliverables with other data analytics team stakeholders. Evaluate data sets for analytical possibilities and pitfalls Transform data as appropriate for specific team functions or processes. Conduct statistical testing and exploratory data analysis. Create data visualizations leveraging design and data presentation guides. Pinpoint trends, correlations and patterns in complex data sets. Apply subject matter expertise to complex data analytic challenges.

Requirements: Bachelor’s degree in Computer Science, Computer Engineering, Electronics Engineering, Electronics and Communications Engineering, Information Technology, or related, plus 5 years of related experience. Requires five years of combined work experience with one or more technologies in each of the following categories: Data analysis, data manipulation and mapping, data transformation and interpretation, and modelling, including multiple regression techniques; Relational Database Systems (RDBMS): DB2/Oracle/MS SQL Server/Netezza/Teradata; Documenting BRD’s, FRD’s and TDD’s; and Working with a data visualization tool: Power BI/Tableau. Also requires two years of combined work experience in each of the following methodologies: Agile Methodology and Jira. Must have prior experience in deliverables, Data Change Requests (DCRs), release packages, release configuration items (RELCIs), work logs, and doing deployments; and Software Versioning & Revision Control systems: Apache Subversion (SVN). Related experience must also include: collecting and analyzing data driving decisions for enterprise Business Intelligence Projects and assisting Data Analytics Teams; using Exploratory and advanced analytical techniques to discover user data needs; formulating the source to target data mapping documents and collaborating with ETL team to define the data flow as per these documents; demonstrated expertise in data warehousing concepts with regards to architecture design, metadata discovery, dimensional modeling, implementation of EDW logical and physical models, and other maintenance activities; conducting performance tuning and writing complex SQL queries, PL/SQL procedures and functions; determining enterprise data needs and data strategy, including the development of data policies and standards; ensuring data cleansing, data quality and accuracy for critical data elements used publicly; and demonstrated knowledge of the software development life cycle (SDLC) and experience developing complex IT projects in agile environment. Local travel may be required to perform work at client locations at least 50% of the time.

Apply to : sss.jobs@sarasoftwaresystems.com"
"1572880502-1543","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Data Science Specialist USA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuv5sIOLoiF5i47oZbZSPWsTv5cOBBBEatGYG7q5LHJAcMJiXt0YcTvLLoCxWKbN0qg2SOXwLKJnv8xrLH0kVoFOICED7oue-t7WjRZkETx_GoIZEZ1ZFTLCILaajlp-dNjA3EzWTLm8R2fR3b-KJbHjXrgHaaT29aLH3NCud263vvpGnJ_TiXThwWlF4KZ0sgY7quhY-9OmS9twgSwJu1q7hkK0n1u0T1sX5V7zlvWg-v8zrSCsNdSr9muSfQkd8wDxusQZ5sMsSu6H1n8l8LEhDNtpMJ4GKDeU-DIMRqIp0gZzp58Ag0hFXJJ4r4kLZvCId1uj7ExcSJjDWWSlgjyAdXeHJzH1H1NKwDyxofrIOGxa9Sb7wAwfpAf6XyUgehVz2B0umCK9JP82OP4MU7QQKnmE4u_nGPL-wfbYo_1yy18mgqEBLzRODHxgDXa67pNSO-YAv3ndUPLQ1Pi_SL2pDBS6Zm21fJhc11VU3GZ5&p=12&fvj=0&vjs=3","Data Science Specialist USA","Mphasis","3.8 out of 5","","","2,325","Mphasis2,325 reviews-United States","Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
"1572880526-1554","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Data Analyst","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLftbMSlmLiV2VjVP3qW29xoLklasW5e71Yx8udbjV-ByYYYLsXktoZJrz6mQa6fRc7RUR1eC43q-8sJE7xKxB0Qz65x7zhl0uBDpfSn_DUPDSzZy3Pizrijj-o0HK0gy8_Yl46q3N5ryk8uRhD4Un64N_RReLphzMtloxhP985jZ4HiPS604w6xTCWR3aDAyxbKkTQb1WIwM3ej5Y7XUQZx3xCgwr-FcZFiDgmj6ezhjPNMd9W3Xm_jN6yeTeVdlxNauk3jgJj1Wj3qFOqFVfdzJGi5A-o3WwsnV83-chUbj-icAS6_VyI1WgKO0z_TqIVdh29CXJASajgLp6n04323CmhycnpWPkOLLWpwYoerJgJF7BGZfHlFQYsJ2NEyR6ZGMOW8J1qOuvrgqVsF2g&p=1&fvj=1&vjs=3","Senior Data Analyst","University of Kansas Medical Center","3.9 out of 5","","","192","University of Kansas Medical Center192 reviews-Kansas City, KS","Position Summary:This Senior Data Analyst will work with a progressive research team providing statistical support and consultation in the areas of data management and quality control, clinical trial design and statistical analysis for a division research team. In this position, the Data Analyst will be responsible for the preparation of statistical analysis and reports for various clinical studies, manuscripts, and grants, as well as, the management of large clinical datasets.Job Duties: Provide biostatistical consultative service to investigators on clinical database, quality control, trial design and statistical analysis plans.Analyze clinical trial data and large clinical datasets for faculty and investigators.Work with a team to provide support on research data management, quality control and analysis.Extract significance and implication from data analysis and clinical databases.Effectively communicate study findings and interpretations to investigators.Perform additional data analysis and related duties as assigned by the supervisor.Assist with publication and dissemination of research findings to the public and professional societies.Other duties, as assigned.Required Qualifications:Master’s degree in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research 2. Experience in principal and advanced statistical methods 3. Experience in working with large datasets (clinical data considered a plus) 4. High level proficiency, experience, and working knowledge of SAS (R and STATA considered a plus) 5. Efficiency in the use of Microsoft Office, Excel and Access 6. Ability to effectively communicate statistical methods and results 7. Experience working in a multi-disciplinary setting and/or team 8. Details-oriented with excellent organizational skills 9. Flexibility and adaptability to work under tight deadlines or changing needs 10. Ability to maintain confidentiality 11. At least has two years working experiencePreferred Qualifications:PhD in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research 2. Proficiency in advanced analytical theories, predictive modeling, data mining, and data extraction. 3. Experience in clinical and health services research 4. Expertise in using various statistical software (SAS, STATA, R, and SPSS) 5. Evidence of scholarship in related fieldKU Medical Center is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disability status, or genetic information.Application Instructions: To learn more and apply online, please visit http://jobs.kumc.edu/postings/26073 or go to https://jobs.kumc.edu/ and search for position number 01203299.*Applications must be submitted directly through the KU Medical Center website to be considered for this position. Any applications submitted via email or this website will NOT be reviewed or considered.About KU Medical Center: The University of Kansas Medical Center’s mission is to educate exceptional health care professionals through a full range of undergraduate, graduate, professional, postdoctoral and continuing education programs in the schools of Medicine, Nursing and Health Professions. KU Medical Center also advances the health sciences through world-class research programs; provides compassionate and state-of-the-art patient care in an academic medical center environment; and works with communities in every Kansas county to improve the health of Kansans. Learn more at www.kumc.edu.Benefits: KU Medical Center proudly offers a competitive and comprehensive benefits package through the state of Kansas, with flexible options designed to meet the diverse needs of our faculty and staff. To learn more about our options for medical, vision, dental and other insurances, as well as our generous time off policies and retirement options, please visit http://www.kumc.edu/human-resources/benefitsrewards.html.Job Type: Full-time"
"1572880499-1542","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Senior Data Analyst","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLftbMSlmLiV2VjVP3qW29xoLklasW5e71Yx8udbjV-ByYYYLsXktoZJrz6mQa6fRc7RUR1eC43q-8sJE7xKxB0Qz65x7zhl0uBDpfSn_DUPDSzZy3Pizrijj-o0HK0gy8_Yl46q3N5ryk8uRhD4Un64N_RReLphxWUP69cFnz-f2tRsjkBAKBjH4zsLSO4xmRwmLzAUeIfUX57aVYdhj0TKIvcVPrsjLlmbmRtx12kweD4IMX8vgjRBk9EQgneZFkYvDAvhFjGJnLL44Y5u_Fkb-k6ItPdB00SQes6eG5aOT1qSaWAbROI6hZsbcHr6In9C_zoR0eTziG3ZvprkaA2UD_QyVD31ddOl7q9D7mIjIsYUc6_YuEYQSurLDNr7TnXM8Kk-WH775aHZ2Olze8&p=0&fvj=1&vjs=3","Senior Data Analyst","University of Kansas Medical Center","3.9 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0&start=10","192","University of Kansas Medical Center192 reviews-Kansas City, KS","Position Summary:This Senior Data Analyst will work with a progressive research team providing statistical support and consultation in the areas of data management and quality control, clinical trial design and statistical analysis for a division research team. In this position, the Data Analyst will be responsible for the preparation of statistical analysis and reports for various clinical studies, manuscripts, and grants, as well as, the management of large clinical datasets.Job Duties: Provide biostatistical consultative service to investigators on clinical database, quality control, trial design and statistical analysis plans.Analyze clinical trial data and large clinical datasets for faculty and investigators.Work with a team to provide support on research data management, quality control and analysis.Extract significance and implication from data analysis and clinical databases.Effectively communicate study findings and interpretations to investigators.Perform additional data analysis and related duties as assigned by the supervisor.Assist with publication and dissemination of research findings to the public and professional societies.Other duties, as assigned.Required Qualifications:Master’s degree in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research 2. Experience in principal and advanced statistical methods 3. Experience in working with large datasets (clinical data considered a plus) 4. High level proficiency, experience, and working knowledge of SAS (R and STATA considered a plus) 5. Efficiency in the use of Microsoft Office, Excel and Access 6. Ability to effectively communicate statistical methods and results 7. Experience working in a multi-disciplinary setting and/or team 8. Details-oriented with excellent organizational skills 9. Flexibility and adaptability to work under tight deadlines or changing needs 10. Ability to maintain confidentiality 11. At least has two years working experiencePreferred Qualifications:PhD in Biostatistics/Statistics, Epidemiology, Economics, Quantitative Methods, Psychometrics, or Health Outcomes Research 2. Proficiency in advanced analytical theories, predictive modeling, data mining, and data extraction. 3. Experience in clinical and health services research 4. Expertise in using various statistical software (SAS, STATA, R, and SPSS) 5. Evidence of scholarship in related fieldKU Medical Center is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disability status, or genetic information.Application Instructions: To learn more and apply online, please visit http://jobs.kumc.edu/postings/26073 or go to https://jobs.kumc.edu/ and search for position number 01203299.*Applications must be submitted directly through the KU Medical Center website to be considered for this position. Any applications submitted via email or this website will NOT be reviewed or considered.About KU Medical Center: The University of Kansas Medical Center’s mission is to educate exceptional health care professionals through a full range of undergraduate, graduate, professional, postdoctoral and continuing education programs in the schools of Medicine, Nursing and Health Professions. KU Medical Center also advances the health sciences through world-class research programs; provides compassionate and state-of-the-art patient care in an academic medical center environment; and works with communities in every Kansas county to improve the health of Kansans. Learn more at www.kumc.edu.Benefits: KU Medical Center proudly offers a competitive and comprehensive benefits package through the state of Kansas, with flexible options designed to meet the diverse needs of our faculty and staff. To learn more about our options for medical, vision, dental and other insurances, as well as our generous time off policies and retirement options, please visit http://www.kumc.edu/human-resources/benefitsrewards.html.Job Type: Full-time"
"1572880515-1549","https://www.indeed.com/jobs?q=data+scientist&l=Kansas&radius=0","Geo-Data Scientist","https://www.indeed.com/rc/clk?jk=df5d16e82c86e57f&fccid=a5d6553914fb729e&vjs=3","Geo-Data Scientist","iCPRs","null","","","null","iCPRs-Kansas","Job category: Subsurface Team

Location: United States – Kansas

We are looking for a full-time staff Geoscientist with interdisciplinary skills in the intersection of mathematics, computer sciences, geosciences and petrophysics.

The candidate will contribute to the fields of geomodeling and petrophysics, uncertainty quantification, mathematical multiscale analysis, predictive and explorative simulations, computational and high-dimensional statistics, data integration, data profiling, heterogeneous data sources, and machine learning.

The candidate will contribute to develop new Geo-Data algorithms, geomodeling and petrophysical workflows, and machine learning algorithms.

Required Qualifications:

Ph.D. in geology, computer science, statistics, or related field.
2+ years of extensive research and /or practical industry experience and proven track record of developing, implementing, debugging, and extending machine learning algorithms and scientific computing.
Experience in workflow automation, automated machine learning and automated geoscience processes and knowledge of GPU programming using CUDA.
Strong background in the log and seismic interpretations.
Strong software engineering and software development skills and object oriented coding expertise in Python.
Experience developing data infrastructure and tools and familiarity with large-scale data processing technologies.
Experience with Real-Time Systems Engineering
Proficiency with the Linux environment
Strong analytical and quantitative skills.
Authorized to work in the US
Preferred Qualifications:

Post-Doctoral experience in geoscience and machine learning.
Knowledge of modern neural network frameworks.
Experience with cloud computing environments (AWS/Azure/GCE)
Numerical simulation and uncertainty quantifications knowledge and experience.
Relocation available: Negotiable

Travel required: Yes – up to 10%

Qualified applicants are considered without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, status as a protected veteran or other characteristics protected by law."
