web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572880666-1575","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","AI Implementation/Translator Lead - Data Science SME","https://www.indeed.com/rc/clk?jk=4909c9983561660f&fccid=5f1f0e6dcc6cbc83&vjs=3","AI Implementation/Translator Lead - Data Science SME","Humana","3.7 out of 5","","","5,811","Humana5,811 reviews-Louisville, KY 40229","Description
The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Lead Data Scientist works on problems of diverse scope and complexity ranging from moderate to substantial.
Responsibilities
AI Implementation/Translator Lead - has a strong intuitive grasp of Artificial Intelligence (AI) and Machine Learning (ML) as well as core product skills (strategy, roadmaps, prioritization, etc.). DSIMs help identify and prioritize the highest value applications for machine learning and do what it takes to make them successful. The DSIM, plans and executes the necessary AI/ML-driven process changes and initiatives necessary to deliver a complete solution to a stated business problem.



Owns key initiatives & deliverables especially in Data Science application development & deployment in cloud-based environments.
Act as an “external facing” business translator whose combined expertise in technology and AI enable the development of custom solutions
Partner with project and product managers to assemble a cross-functional team of data experts, data scientists, and technology experts to design and deliver a solution to meet a business need
Partner with project and product managers to monitor the business impacts of AIM deliverables, implementing changes as/when appropriate, to continuously improve reliability and efficiency

This roles is part of the Enterprise Analytics ECOM. In a support function is facilitating the delivery of an identification, stratification, rostering and next best action analytics engine to support multi-disciplinary care teams in their support of our members. This work is being done by the Clinical Data Science team (EDnA), and will be supported by the Machine Learning Platform being developed by the Enterprise Data Science and Cognitive AI team (EDnA). Additionally, the engine will be integrated into the Digital Health Platform as a Service (DHPaaS), and the DHPaaS will deliver the analytic capability for enterprise consumption.
First Year Success Factors:
Establish trust of Clinical Strategies and HCS Technology and Analytics teams
Near-term, play an important role in the delivery of the MVP of analytics engine
Longer-term, be a key member of the team who leverages rapid iterative testing to tune the engine’s capabilities for the V1.0 release

Required Qualifications :
Bachelor’s degree in a quantitative field (Statistics, Business Analytics, Mathematics, Operations Research, Engineering, Data Science) and/or related field
Ability to build collaborative relationships with stakeholders and diverse, cross-functional teams/organizations to develop appropriate requirements, scope and delivery timeframes, driving on-time execution
6+ years technical experience
Working knowledge and experience in statistical analysis packages SAS, Python, R, creating and translating models.
2+ years project leadership experience
3+ years expert knowledge of Artificial Intelligence/Machine Learning strategy development, business plan implementation and ongoing scale/evolution management
Strong analytical thinker with the ability to deliver high-quality work in a structured, disciplined and time-conscious manner
Excellent interpersonal, verbal and written communication skills
Ability to operate in both strategic and tactical environments, accommodating for global-level needs
Preferred Qualifications:
Master degree in a quantitative field (Statistics, Business Analytics, Mathematics, Operations Research, Engineering, Data Science)
Clinical Experience a plus
Experience analyzing, designing and implementing large scale business and performance management solutions
Ability to leverage technology (e.g. SQL) to extract and manipulate data


Additional Information:


This role will be located in Louisville, Ky. Waterside Building, or Boston, MA location within Studio H. Alternative work arrangements (telecommute, WAH, etc) could be considered for the right candidate.
Scheduled Weekly Hours
40"
"1572880664-1574","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Data Scientist","https://www.indeed.com/rc/clk?jk=8e18c3fd09ea7e00&fccid=ff53a59bcc9cb7fd&vjs=3","Data Scientist","Xometry Inc","null","","","null","Xometry Inc-Lexington, KY","Xometry is a rapidly growing startup that is transforming American manufacturing. Our proprietary instant quoting technology and nationwide network of manufacturers provides a streamlined on-demand manufacturing experience that is unparalleled in the market. Custom manufacturing is a $50 billion industry in the United States, and it is our mission to provide advanced manufacturing capabilities to customers of all sizes - from Fortune 500 companies and government agencies to small businesses and startups.



As a Data Scientist at Xometry, your day-to-day activities might include the following:
Using knowledge of probability and statistics to make defensible statistical inferences from data
Using machine learning tools and techniques and knowledge of statistics to construct, optimize, and evaluate predictive models that predict the likelihood of different business outcomes
Using deep learning tools (such as TensorFlow, Keras, or PyTorch) to train a variety of neural network architectures (e.g., multilayer perceptron, convolutional networks, transfer learned networks) to develop effective predictive models
Writing production-quality software in Python to implement predictive models and business logic in business software
Using cloud resources (e.g., Amazon Web Services) to prepare and process data
Writing software to prepare, clean, and sample data for use in developing predictive models
Writing queries to query and extract data from product databases (requires knowledge of MongoDB) and join data from multiple sources.
Using data analysis tools to prepare data visualizations. Examples of such tools include Tableau, Jupyter Notebooks, Python, Pandas, and R.
Relentlessly iterating solutions within a fast-paced start-up environment where ambiguity and minimal structure are the norm
Solving challenging, uncharted engineering problems
Working in an environment that demands continual learning and development of new skills
This job is for you, if you have:
Bachelor’s degree in applied math, computer science, natural sciences or engineering
A M.S. or PhD in a related field is preferred
2+ years of experience with machine learning, optimization and fitting techniques
Experience with deep learning architectures and training methods is preferred
Fluency in Python, numpy, scipy, pandas, and sklearn is preferred
Proficiency in linear algebra and statistics
Familiarity with RESTful APIs
A portfolio demonstrating clean and compliant code
Demonstrated attention to detail
Familiarity with debugging and automated unit/regression testing
Familiarity with versioning systems such as Git
Must be ITAR compliant
Xometry offers its employees:
Health, Dental & Vision coverage
Commuter & Dependent Care benefit options
401k
Paid time off
Primary and Secondary Parental Leave
Stock Options
Find out more about Lexington, KY by visiting http://www.locateinlexington.com/LIVING-HERE/Relocate-to-Lexington.aspx.


This isn’t the job for you? Maybe you have a friend who would be perfect for it - please share this job with them!


Xometry is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.


Xometry participates in E-Verify and after a job offer is accepted, will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S."
"1572880635-1561","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Senior/Principal Data Scientist- Erlanger, KY","https://www.indeed.com/rc/clk?jk=c08b63c184151cb8&fccid=a46683ec51ead49e&vjs=3","Senior/Principal Data Scientist- Erlanger, KY","Archer Daniels Midland Company","3.7 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","950","Archer Daniels Midland Company950 reviews-Erlanger, KY","The Senior/Principal Data Scientist applies Data Science and Modeling techniques to solve complex business problems within ADM. They must be able to build predictive models and machine-learning algorithms, analyze large amounts of information to discover trends and patterns, undertake preprocessing of structured and unstructured data as well as monitor and sustain model effectiveness. They will need to be able to combine models through ensemble modeling, present complex information using data visualization techniques and propose solutions and strategies to business challenges that drive business impact. The position conducts research, design, implementation, and validation of ground breaking algorithms in order to analyze diverse data sources in order to enable desired business outcomes in diverse fronts. A member of management who plays a strategic role tasked with formulating new and creative ideas for demonstrating the business’s vast collection of data in the databases while managing a mix of direct reports and matrix individuals.



Key Responsibilities:

Oversees the activities of data science initiatives and provides advanced expertise on statistical and mathematical concepts for the broader Data and Analytics department

Ensures that the data science department is constantly building effective working relationships and building data-fueled solutions that drive the business closer to its overall goals and objectives

Performs an analytical role researching, designing, implementing, and deploying full-stack scalable data analytics vision and machine learning solutions to address various business challenges

Has the responsibility to keep up and provide insights to the data science department and the larger Data and Analytics department on leading data science and analytic practices, trends, design, learning and development cycles, which improves the business’s overall performance by improving data and analytics programs that provide high-impact insights

Natural curiosity and passion for scientific investigation, talent for strategic leadership, interest in digital product development, and experience in people management

Lead the development of data science strategy in an environment rich in complex biological, environmental, operational, and business data

Develop and manage skills in machine learning, statistical modeling, and other computational approaches to extract insights from proprietary and public science data sources

Establish and manage collaborations engaging business units to develop novel data analytic approaches and coordinated decision science solutions

Applies and encourages the adoption of advanced data science and analytics across the business



Job Requirements:

Experience in machine learning, data mining, statistical methodology and demonstrated experience using these techniques to solve commercial, financial and manufacturing problems

Experience with people management with global, diverse talent

Passion for collaboration and working with and inspiring cross-functional, multi-disciplinary teams

Dedication to working safely and to the awareness for the safety of others

Excellent communication and interpersonal skills for working with all parts of the company such as operators, engineers, commercial personnel, and senior management

Ability to develop actionable predictive models from various data sets both large and small

Ability to explain and teach advanced analytics techniques and principles to others

Minimum five years’ experience working with advanced analytics platforms such as SAS, SPSS or Statistica

Extensive experience with lower level analytics platforms such as R, Python or JMPPO.

Extensive process manufacturing knowledge



Educational Requirements:

Bachelor’s degree in science, engineering, mathematical field, or computer programing.



Job Description (Continued)



Masters or PhD in Advanced degree in Analytics or equivalent analytics experience.



Relocation assistance is available with this position.



This position offers a complete benefit package, including 401K/ESOP, pension, health, life and dental insurance.



ADM is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability and veteran status.



For more than a century, the people of Archer Daniels Midland Company (NYSE: ADM) have transformed crops into products that serve the vital needs of a growing world. Today, we’re one of the world’s largest agricultural processors and food ingredient providers, with approximately 40,000 employees serving customers in hundreds of countries. With a global value chain that includes approximately 450 crop procurement locations, more than 330 food and feed ingredient manufacturing facilities, 62 innovation centers and the world’s premier crop transportation network, we connect the harvest to the home, making products for food, animal feed, industrial and energy uses. Learn more at www.adm.com.



EEOADM is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability and veterans status.

Ref ID



#LI-NA2"
"1572880622-1556","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Senior Statistical Programmer – 100% Home Based – CRO","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrXZJKstr_1Nm9Bxlm9XmUifAqElOg5uC8RIXd89SOcS7nuJ5hbOzMC9h8f-qjpuCeu2f7zZA7L_686rXbGtJTyu2xWksqSX4bu6Ip3LJ5trPluHUI4eV52ZGo5W55jFchxlqm3iKyzaD54ITCxN5AhQiPpI66PIM7Y2WnPnyQ1oLsFlvSUQvWLS62zXUC4T1EvxDtC8VlLVhmWhLsg5E5iWnmIDOB7oQr6AmCKOUZyiRaMPSIeROpUDV3IvENZs13z8kOssb7yy71h9IVQsVxA9fsjqnij0mE-VPSOWqHMxOw_7mXWkxFnJkFLsLlsApZ0-gsJMQRfzpSkamt8LypINrVlw2n2LJQ_XHAh33v234bhsHlB1Nm1F3GHcM35rj5hJyazJhzzIMiOa0dbtM7Zs&p=11&fvj=1&vjs=3","Senior Statistical Programmer – 100% Home Based – CRO","i-Pharm Consulting","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","null","i-Pharm Consulting-United States","Senior Statistical Programmer – 100% Home based – CRO Senior Statistical Programmer required to work for a true global CRO leader. As a best in service fully end-to-end clinical solutions organization they offer their premium portfolio of client’s concise expertise to a complex marketplace.This position is 100% home based.JOB TITLESenior Statistical Programmer / Snr Stats Programmer / Senior SAS ProgrammerLOCATIONUSA / Home basedSALARY Highly competitive salary (DOE)ROLE/DESCRIPTIONYou will be the ‘go to’ person and serve as the Lead Statistical Programmer for projects of different complexitiesIn a nutshell - you will assist in managing project budgets and tracking project specific performance metrics. Also, function as an internal and external customer liaison.You will SAS software (BASE, STAT, GRAPH, MACRO) to produce well formatted datasetsFrom a quality control (QC) perspective - ensure that outputs of mapped and analysis datasets, tables, listings, and figures and other programming activities are meeting quality standards.As the lead – you will be responsible for: directing the programming activities of other programming personnel, and monitoring progress on deliverables, reviewing project documentation; Statistical Analysis Plan, mock shells, programming specifications, annotated CRFs, and SAS database design, and provide feedback to project team members.You will take part in sponsor meetings, kick-off meetings, and bid defense meetings as Statistical Programming representative (as required by sponsor)Importantly, you be responsible for managing schedule and time constraints across multiple projects, sets goals based on priorities, and priority changes by reorganizing daily workload.REQUIREMENTSAt least 7+ years SAS Programming experience.Bachelor’s Degree or equivalent in Mathematics, Statistics, Computer Science (Masters Degree is a decided advantage)Recent expertise in full oversight and Leading a studySignificant CDISC compliance exposureUnparalleled communication skills and the ability to lead/influence othersBe a real life “self-starter”ABOUT i-PHARM CONSULTINGi-Pharm Consulting is a specialist Recruitment Company servicing the Pharmaceutical industry in the USA, Europe and Asia Pac. We provide both permanent and contract staff to a wide range of Pharmaceutical, Medical Device, Biotechnology and Contract Research Organisations (CROs). i-Pharm has specific expertise in Clinical Research, Medical Affairs, Regulatory Affairs, Pharmacovigilance, Quality Assurance and Bioinformatics.www.i-pharmconsulting.comTO APPLYIf you would like to discuss this vacancy further, please call Practice Lead David Fearnley on +1 (718) 514-9604. If this role is not suitable, David is also available to discuss other possible positions or answer any general questions regarding your career and the current market.KEY WORDSSenior Statistical Programmer / Snr Stats Programmer / Senior SAS Programmer / CDISC / SDTM / ADaM / CRO / Clinical / Research / Statistical / Programmer / GCP / Projects / SAS / BASE / STAT / GRAPH / MACRO / Stats / Home based / Data / Data sets / Lead / Therapy / Clients / MeetingsJob Type: Full-timeExperience:SAS Programming: 7 years (Preferred)Work authorization:United States (Required)"
"1572880673-1578","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Data Scientist 2","https://www.indeed.com/rc/clk?jk=6bdf40c517a6a723&fccid=5f1f0e6dcc6cbc83&vjs=3","Data Scientist 2","Humana","3.7 out of 5","","","5,811","Humana5,811 reviews-Louisville, KY 40229","Description
The Data Scientist 2 uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Data Scientist 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.
Responsibilities
The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.
As a Data Scientist II, you will develop cutting edge models that drive insights and shape prospective actions for Humana Pharmacy. Leveraging your knowledge of statistics, machine learning, stochastic techniques, and programming, you will develop algorithms and predictive models, and present technical information to a broad audience.
Responsibilities will include:
Developing and maintaining a suite of predictive analytics to drive consumer engagement and growth for Humana Pharmacy
Demonstrating technical and theoretical expertise in a variety of machine learning techniques, such as random forests and neural networks, as well as in depth knowledge of feature engineering techniques.
Demonstrating some technical and theoretical expertise in mathematics and statistical techniques, such as Markov chains, discrete optimization, and probalistic modeling. You will develop models to predict, quantify, and/or forecast various metrics
Ensuring and maintaining data quality and reliability
Provide expertise and assistance in implementing model results in ongoing business processes
Ensuring full and clear documentation of all processes
Preference will be for candidates willing to relocate to Louisville KY. May consider remote on a case-by-case basis.

Required Qualifications
Bachelor’s Degree and/or equivalent work experience
1+ years statistics and modeling experience
Experience using one of the following high level programming languages (e.g., Python, R, SAS, Java, C++, etc.)
Experience using SQL to work with an enterprise scale RDBMS (Oracle, MS SQL Server, etc.)
Experience analyzing data for actionable insights
Ability to effectively communicate results of statistical models to broad audience, including senior leadership
Candidates should possess the ability to take initiative and exercise appropriate business judgment
Ability to determine accuracy of data and reasonableness of results, and to identify and resolve errors
Ability to manage ambiguity in performing ad-hoc analysis for key business partners
Preferred Qualifications
Master's Degree
Familiar with pharmacy benefit management processes or organizations
Prior work history in a clinical, pharmacy, or related setting
Experience with health care data, including Medicare/Medicaid
Advanced experience with statistical analyses and modeling techniques including probalistic modeling, discrete optimization, vector analyses, multivariate statistical modeling, and neural networks.
Experience with large data sets and/or the analysis of patient-level healthcare data
Proven ability with data mining and/or predictive modeling techniques
Technical degree or other formal education (e.g., bootcamps, Udactiy, Coursera, Edx, etc) that demonstrate strong theoretical base
GitHub or portfolio of work demonstrating technical competence
Scheduled Weekly Hours
40"
"1572880629-1559","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Post-Doctoral Scholar in Mathematical/Computational Evolutio...","https://www.indeed.com/rc/clk?jk=d2285c0ade2fd1e9&fccid=08f0dbb5cdf17d24&vjs=3","Post-Doctoral Scholar in Mathematical/Computational Evolution and Ecology","University of Kentucky","4.2 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","624","University of Kentucky624 reviews-Lexington, KY","Required License/Registration/Certification
n/a


Job Summary
The Van Cleve lab in the Department of Biology (http://vancleve.theoretical.bio) at the University of Kentucky is seeking a Postdoctoral Scholar broadly interested in using mathematical and computational tools to study evolutionary and population genomics, evolutionary ecology, and social behavior. Support for the position comes from a recent NSF CAREER award (https://nsf.gov/awardsearch/showAward?AWD_ID=1846260); the specific project is flexible and will broadly relate to understanding how processes at the genetic scale, such as recombination, interact and coevolve with processes at the individual and social group scales. There will be opportunity to develop new theoretical models and new computational methods or tools.

The successful candidate will have a Ph.D., expertise in mathematical or computational modeling, experience with scientific computing, interests in evolution and ecology, and a record of publication that reflects the ability to conduct original and independent research. Familiarity with C++/Python/Julia is a plus.

The start date is flexible, though a prospective start date sometime in summer 2019 is preferred. The position is renewed each year with review and is funded for a maximum of three years. Salary is $50,000, and benefits are included.

Interested applicants should submit:

1. a 1-2 page statement describing their research interests (upload under Cover Letter)

2. a CV including contact information (e-mail and phone) for three references.

Review of applications will begin immediately and will continue until the position is filled. For additional information regarding the position, please contact Jeremy Van Cleve (jvancleve@uky.edu).

The University of Kentucky is the home of a diverse set of research groups that use laboratory, field, computational, and mathematical tools to study questions in population and evolutionary genetics and genomics, ecological genetics, phylogenetics, evolutionary ecology, physiological ecology, conservation biology, behavioral ecology, plant ecology, and other fields in evolution and ecology. These research groups are housed in a number of departments on campus including the Departments of Biology and Mathematics in the College of Arts and Sciences and the Departments of Entomology, Plant and Soil Sciences, Plant Pathology, and Forestry & Natural Resources in the College of Agriculture, Food and Environment.

The University of Kentucky is located in Lexington, KY, known for the many bucolic horse farms that surround the city, thoroughbred racing at Keeneland, equestrian events at Kentucky Horse Park. Lexington and the surrounding area is home to many bourbon distilleries and microbreweries and numerous outdoor activities including hiking and world-class climbing at the nearby Red River Gorge. The cost of living in Lexington is modest and many UK students, faculty, and staff live close to the University and commute by walking or biking.


Skills / Knowledge / Abilities


Does this position have supervisory responsibilities? No


Preferred Education/Experience
Familiarity with C++/Python/Julia is a plus




Open Until Filled Yes


University Community of Inclusion
The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.


As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.


Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen."
"1572880639-1563","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Prin Statistical Programmer","https://www.indeed.com/rc/clk?jk=d8a28c0eaa6c65f7&fccid=6c527578251bc5e1&vjs=3","Prin Statistical Programmer","Icon plc","3.5 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","296","Icon plc296 reviews-Lexington, KY","Principal Statistical Programmer
At ICON, it's our people that set us apart.
As a global provider of drug development solutions, our work is serious business. But that doesn't mean you can't have fun while you do it. With our vision to be the partner of choice in drug development, we hire only the best and brightest in the industry. Are you one of them?
We are looking for passionate, resilient, and inspiring individuals to join our team. As the Principal Statistical Programmer you are responsible for creating, validating, and executing a range of statistical programs and applies extensive domain knowledge in the programming of datasets, tables, figures and listings for quality and accuracy.
The role
Lead and execute programming deliverables on multiple projects in parallel and ensure that competing priorities are managed appropriately
Lead and manage the assigned programming team's deliverables at the study and program level to ensure project objectives are met within budget, to agreed timelines and to the highest standard of quality.
Proactively plan for and implement effective resource planning, task allocation and tracking of workload in accordance with agreed metrics (e.g. KPIs) and quality standards.
Serve in a client-facing capacity that demonstrates an ability to anticipate client needs and implement innovative solutions, as appropriate.
Develop and foster client relationships through effective project management and communication.
Apply exceptional technical capabilities and knowledge of industry trends to develop broad-use technical solutions for the benefit of study teams across the department.
Develop, implement and maintain documentation to technically train staff in the appropriate technical solution
Actively participate in the review and approval of programming procedures and techniques
What you need
Minimum of a BS degree, in quantitative or scientific discipline
Minimum of 8 years relevant experience in the role of a Statistical Programmer , preferably in the Clinical Research industry
Demonstrated leadership, resource planning, and/or project management skills
Extensive understanding of global clinical trial practices and procedures, methodologies, and regulatory requirements (ICH, GCP)
Extensive working knowledge of data structure (CDISC, SDTM, ADaM), software development life cycle and their implementation
Why join us?
Ongoing development is vital to us, and as a Study Support Assistant you will have the opportunity to progress your career, with the potential to move into other related areas to enhance your skill set. Our benefits package is competitive, our scope is international and we genuinely care about our people and their success.
ICON is an equal opportunity employer and committed to providing a workplace free of any discrimination or harassment.
EOE race/color/religion/sex/sexual orientation/gender identity/disability/vet/national origin"
"1572880637-1562","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Data Mining Co-Op Spring 2020","https://www.indeed.com/rc/clk?jk=08f7ccb3197cd2c7&fccid=a2faf1301ac6ad4b&vjs=3","Data Mining Co-Op Spring 2020","Bosch Group","4.1 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","4,478","Bosch Group4,478 reviews-Florence, KY 41042","Job Description



SUMMARY
This position is with Bosch Automotive Steering, within the Electric Power Steering assembly area. In this position you will support the production area with analyzing data in regards to equipment performance, downtime, quality rejects, organizational losses, cycle times, etc. The data will be used to improve processes and increase output.
Essential Duties and Responsibilities: include but not limited to the following.
Prepare data and slideshows for management presentations
Support and mintain standard process performance data, charts, and dashboards
Develop as a dependable organizational leader by converting raw process data into useful information for driving process improvements


Qualifications



Education and/or Experience:
Student enrolled in engineering related Bachelor’s or Master’s degree program: Electrical, Mechanical, Manufacturing, Industrial, Computer Engineering, Computer Science, Computer Information Systems, Statistics, or a related field
Qualifications/Competency:
Knowledge of programming (e.g. C, C#, C++, Python)
Working knowledge of SQL servers
Solid understanding of Microsoft Excel
Competent in Microsoft Office (Power Point, Word, Outlook)
Experience with PowerBI, Tableau, or Splunk preferred
Interest in manufacturing and assembly processes
Attentive to detail, structured working approach, high quality standards
Confident, organized, proactive self-starter
Availability to work on Monday mornings a plus
This internship is open to applicants with availability now or in Spring 2020. Not currently looking for Summer applicants.

Additional Information



All your information will be kept confidential according to EEO guidelines. Position open to both part-time and full-time candidates."
"1572880625-1557","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Data Science Specialist USA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuv5sIOLoiF5i47oZbZSPWsTv5cOBBBEatGYG7q5LHJAcMJiXt0YcTvLLoCxWKbN0qg2SOXwLKJnv8xrLH0kVoFOICED7oue-t7WjRZkETx__qy-sAQPJxZgVMZ-8VnX1xonYx92WH0ehxqjQda1wAbk63UaxKQPlKriSFJD6U0UNRPfFsVEbphkglGoiLdS8y2CNY8JfYBw7DF2dIIr-4PQB_YfNGuyEEWNeAjEcpT5CToK7hf9UGhXGBb16-yFpcPtFD-C1k2-PwgIiIxKoIYfZtTddBSZk1Hqwyq22zYGdSFIxlYi1z2S18QcMqaLy9sQj21O2sq8H92s2l5PppX33KfXOIYESGYWaBAeaH_Uh8vkb1ZTUDElpjGZn34z86FbNBR_luchbDbhVFn3iqeti3HvNgNMqPWRgJExhijWUXFs7N_zG5LU-WYTMDHERP7oYaLHm_AK0ipFdi3EfnSmJSINnu048QZrSZOjzDcK&p=10&fvj=0&vjs=3","Data Science Specialist USA","Mphasis","3.8 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","2,325","Mphasis2,325 reviews-United States","Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
"1572880648-1567","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrVH8ApA29CXP3y6n8K8TgdDUaiEqlegRxJ7RLC-mtMXXq-HBPAL3XoFosgkVdGHn3mfiwVjbw5T5IVQQQtG000JN2nsmdHmVUqKzWLnYy9IskoUUo3BXm0OXycGdP_y4gHr9pb0ENzCdhvbKyCzUxN9c3K75pD_JE-GHsZh2-boC49XfO93ozITTz7i97LqyYduN6JjC18nfgOBD_e5gUOOJoTZg3oAziplgCOqm05iPmODvgIp1rIp9EW65KgdqF-AjujK_oGCTyaNpPusdOd_l_KP1FvZFwaOqY2mSL1nMLqse4pVdujauxdrrRiQFankaUUGgnBB1hAACYWLg4fI9VWsdoS-rxBA086uVTEQ6nE1m8-ssnL04yPjfpbrLRsII8Oew-HBauBO6MhUTm81&p=0&fvj=1&vjs=3","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","i-Pharm Consulting","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Kentucky&radius=0&start=10","null","i-Pharm Consulting-United States","The Principal Statistician is responsible for developing statistical solutions to optimally support all phases of clinical trials and decision making. The successful candidate will function as the study statistician and be accountable for study level deliverables. The role will include key trial statistician responsibilities including statistical design, authoring of SAPs, and conducting just-in-time analyses and data exploration. Industry experience is preferred.Responsibilities:Act as the primary point of contact for all statistical analysis and development; working as a lead of both Statisticians and Programmers on study and database designDevelop guidelines for drafting SAPs and creating statistical models for study insightsReview and at times create specs for programmers following CDISC guidelinesProvides leadership to junior staff regarding synopsis, protocol, SAPs, clinical study report, and other regulatory submission documentsIdentify and interact with external statistical experts for issues related to study design, methodology and resultsStay up-to-date with Biomarker applications and statistical methodologyAbility to build powerful networks within and outside the company and use these relationships to achieve support for the planning and implementation of innovative approaches.Define strategy around managing CRO and vendor delivery timelineDevelop and automate statistical analysis and visualization tools for scientists and other statisticians.Qualifications:PhD in statistics or related field with preferably 1-3 years of relevant pharmaceutical research experience with high-dimensional biomarker data from clinical trials, or Masters in statistics or related field with at least 5 years of relevant experience and demonstrated potential of applying advanced statistical methods.Strong statistical foundation with a wide breadth of interest and expertise in classical and modern statistical and machine learning methods.Ability to apply innovative and fit-for-purpose statistical methods to the analysis of biomarker and high dimensional data from clinical trials.Strong programming skills in R, with demonstrated potential to develop and automate analysis scripts and tools for broader use.Excellent interpersonal and communication skills, with strong potential to build and maintaining strong working relationships.Ability to explain complex statistical concepts in simple and practical terms to non-statisticians.Job Type: Full-timeSalary: $130,000.00 to $150,000.00 /yearExperience:Oncology: 1 year (Preferred)Biostatistics: 7 years (Required)"
