web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572881438-1657","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Sr. Data Scientist","https://www.indeed.com/company/Red-Berry-Innovations/jobs/Senior-Data-Scientist-526e7455eb7dadca?fccid=c984ccad28a814a1&vjs=3","Sr. Data Scientist","Red Berry Innovations","null","","","null","Red Berry Innovations-Omaha, NE","We are not your average employer with everyday problems and busy work – you will work on things that will change the way the world works and use your ingenuity to do it! We are seeking highly motivated individuals to create innovative software solutions for complex, real-world problems. We are experiencing explosive growth and looking for talented people at all levels of experience that share our passion!As a Senior Data Scientist at Red Berry Innovations, Inc., you’re more than just an employee. You’re an integral part of our team, our culture, and the impact we make on the world. You’ll have endless opportunities to learn and grow in cybersecurity with the latest technology in vulnerability research, reverse engineering, artificial intelligence, and software development.Who we want: Hard workers who are driven to accomplish projects and goals in a startup environment.Team players with integrity and devotion to helping each other succeed.Self-learners who crave hands-on experiences with cutting-edge technology.Problem solvers who approach challenges with creativity and imagination.What you need: Experience coding in Python using the SciPy stack.Experience developing machine learning applications using current machine learning frameworks.Strong background in linear algebra, differential equations, and numerical analysis.Exceptional communication skills with the ability to deliver clear, engaging, and understandable reports, tailoring complex messages into simplified and business applicable material for key stakeholders.Must be a United States Citizen and be able to obtain a security clearance.What would be nice for you to have: Experience leading an engineering team.Experience deploying machine learning algorithms on a cloud service, such as AWS, Google, or Azure.What we offer: Competitive pay and benefits package. Health, Dental, Vision, 401k, Life Insurance, Disability, Wellness, Paid Time Off, Training, and even bring your dog to work!An engagement-focused and performance-oriented culture with career advancement.Flexible work environment.World-class leadership that support, position, empower, and engage you.Ongoing learning and development opportunities.Mission-driven work that protects the lives and livelihood of people around the world.Red Berry Innovations, Inc. is an equal opportunity/affirmative action employer that celebrates, supports and promotes diversity and inclusion. We will consider all qualified applicants without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation or gender identity, or any other legally protected basis, in accordance with applicable law.Job Type: Full-timeSalary: $75,000.00 to $125,000.00 /yearWork authorization:United States (Required)"
"1572881442-1659","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Data Science Specialist USA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuv5sIOLoiF5i47oZbZSPWsTv5cOBBBEatGYG7q5LHJAcMJiXt0YcTvLLoCxWKbN0qg2SOXwLKJnv8xrLH0kVoFOICED7oue-vF_zN7_lP93AHWK3kluxzMMDjvI7Fu5d5GL81UqrevbpFdnoszZ4LhyQ8grzXDDwR1sT0wl387DFR7d-X-M2e-cy99gurnQb_zUsjXcFKhh3bDANeHcEjnUf0ScdOMT2caBbdzKoTTByOVh1kGoffXSI2O9hFUBx_PBS8aG9g248pKpiNLPLa0z_UJGTrMVQkwPCg0pHY_SPir2N-B6aj_oHMoTmfcFlk-26-J9M3ZtntQcUZ2lX5WiTRtvCqGFzqCwThOcylece8HnAYrKIsVMzNofusvDH-IRG8CFWuGDnwHccIrVC-cgPwH8I7t_yA1lpjTX4KJprpuhP0dNjMd48gEQQqp5KDlYKCdeFP95X7ki07FQUgsYa38xoF2nglLWtN6_d-0N&p=1&fvj=0&vjs=3","Data Science Specialist USA","Mphasis","3.8 out of 5","","","2,325","Mphasis2,325 reviews-United States","Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
"1572881440-1658","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrVH8ApA29CXP3y6n8K8TgdDUaiEqlegRxJ7RLC-mtMXXq-HBPAL3XoFosgkVdGHn3mfiwVjbw5T5IVQQQtG000JfPpkndMIgFtpnjeT1iMj6nMUNO5tc1ylfuJYk33WQ5gWsWRjp7zk1rzDaqvB7_QF9rN8HSSTRUMzoG-XxyjY65RSI8z27JoRnYPs1E5iP9FcF_S8AaMLHcWyfokU8GA-tA73r0X78d7s5uTlZ8aVH8gj52IIazSemsGgF1Lg_qemz3Kl63klouD0-QCthYTWOUcswrID9oEEPgFZFwGR9yfjKfJyfwXONW7beHUEfLUWj1GIi8Hcib3Wa8CWc8mEJE9Q2XGhoDvua4oaeoCQzfl-BaLhIkqH_ZrdX2qZwzl9Sb9a2on2d7-AGRUOveHv&p=2&fvj=1&vjs=3","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","i-Pharm Consulting","null","","","null","i-Pharm Consulting-United States","The Principal Statistician is responsible for developing statistical solutions to optimally support all phases of clinical trials and decision making. The successful candidate will function as the study statistician and be accountable for study level deliverables. The role will include key trial statistician responsibilities including statistical design, authoring of SAPs, and conducting just-in-time analyses and data exploration. Industry experience is preferred.Responsibilities:Act as the primary point of contact for all statistical analysis and development; working as a lead of both Statisticians and Programmers on study and database designDevelop guidelines for drafting SAPs and creating statistical models for study insightsReview and at times create specs for programmers following CDISC guidelinesProvides leadership to junior staff regarding synopsis, protocol, SAPs, clinical study report, and other regulatory submission documentsIdentify and interact with external statistical experts for issues related to study design, methodology and resultsStay up-to-date with Biomarker applications and statistical methodologyAbility to build powerful networks within and outside the company and use these relationships to achieve support for the planning and implementation of innovative approaches.Define strategy around managing CRO and vendor delivery timelineDevelop and automate statistical analysis and visualization tools for scientists and other statisticians.Qualifications:PhD in statistics or related field with preferably 1-3 years of relevant pharmaceutical research experience with high-dimensional biomarker data from clinical trials, or Masters in statistics or related field with at least 5 years of relevant experience and demonstrated potential of applying advanced statistical methods.Strong statistical foundation with a wide breadth of interest and expertise in classical and modern statistical and machine learning methods.Ability to apply innovative and fit-for-purpose statistical methods to the analysis of biomarker and high dimensional data from clinical trials.Strong programming skills in R, with demonstrated potential to develop and automate analysis scripts and tools for broader use.Excellent interpersonal and communication skills, with strong potential to build and maintaining strong working relationships.Ability to explain complex statistical concepts in simple and practical terms to non-statisticians.Job Type: Full-timeSalary: $130,000.00 to $150,000.00 /yearExperience:Oncology: 1 year (Preferred)Biostatistics: 7 years (Required)"
"1572881436-1656","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Statistician II","https://www.indeed.com/rc/clk?jk=aca268988017925b&fccid=b8b24773975b4576&vjs=3","Statistician II","University of Nebraska Medical Center","4 out of 5","","","310","University of Nebraska Medical Center310 reviews-Omaha, NE","Department COPH Biostatistics 50005426 Business Unit College of Public Health Reg-Temp Full-Time Regular Work Schedule Mon - Fri 8:00 am - 4:30 pm Position Summary
Under minimal supervision from lead statistician and/or faculty, act as a primary consultant to researchers from the Child Health Research Institute, and others upon request.

Develop statistical analysis plan and carryout the analysis. Provide advice on research design and analysis.

Ensure integrity of data collection, data review, data compilation (including database development and data reconstruction) and analysis techniques by monitoring protocols and procedures to comply with proper statistical techniques.

Prepare reports of research and of statistical analysis utilizing appropriate statistical methodologies and graphical displays. Participate in report and manuscript writing and coauthor publications in peer-reviewed journals. Participate in IRB protocol development.

It is expected that this position reside in the office on the Children’s Hospital & Medical Center campus 70-80% of the time and the remainder of the time will be spent at the UNMC office. Will work with pediatric investigators from both campuses.
Position Details
Additional Information
Posting Category Research - Non Academic Working Title Statistician II Job Title Research/Ag Specialist Salary Grade RA24S Appointment Type B1 - REG MGR PROF SALARY Salary Range $61,400 - $92,100/annual Job Requisition Begin Date 08/13/2019
Required and Preferred Qualifications
Required Education: Master's degree


If any degree/training is required, please specify the type:
Statistics, Biostatistics, Biometry, Mathematics or related field.


Required Experience 2 years


If any experience is required, please specify what kind of experience:
Experience in statistical analysis, design, data management, and consulting. to include experience in the use of SAS or R programming language.


Required License No


If yes, what is the required licensure/certification?


Required Computer Applications: SAS, SPSS


Required Other Computer Applications:


Required Additional Knowledge, Skills and Abilities:
Knowledge of statistical analysis techniques and principles.

Knowledge of research design, conduct, analysis and reporting.

Advanced computer skills and experience with major statistical computing packages.

Skills in research reporting and study implementation.

Ability to consult and collaborate with various faculty and staff.

Ability to do research and work independently. Ability to communicate well in oral and written communications.


Preferred Education: None Preferred


If any degree/training is preferred, please specify the type:
Epidemiology, biostatistics, or related field.


Preferred Experience:


Preferred License: No


If yes, what is the preferred licensure/certification?:


Preferred Computer Applications: Microsoft Excel, Microsoft Word, Microsoft Outlook


Preferred Other Computer Applications: Statistical Software


Preferred Additional Knowledge, Skills and Abilities:


Email to a Friend http://unmc.peopleadmin.com/postings/47008"
"1572881403-1641","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Senior Data Analyst","https://www.indeed.com/rc/clk?jk=101b06ac7f9bf47d&fccid=76cfca1cf33fc977&vjs=3","Senior Data Analyst","Hudl","4.2 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0&start=10","15","Hudl15 reviews-Omaha, NE","Interested in working at Hudl? Awesome. Here's what you need to know.



Our goal is to change the way coaches, athletes and analysts prepare for and stay ahead of the competition. Whether it's with video, stats or a combination of the two, we want our tools to help every step of the way. That's why we're always hiring, and we need the best because a product is only as good as the people behind it.



( https://vimeo.com/251661628 )



Hudl is looking for an Engagement Data Analyst for its Media team. This is an exciting opportunity to translate data/research into actionable user, audience, content, and business insights.



You Are




Avid social media user and digital/social video content consumer; the first of your friends to know about digital trends and emerging platforms
A constant learner. You strive not just to learn, but to apply what you've learned in your personal and professional life.
Collaborative. You play well with others and have made each team you've worked on better.
An intermediate with SQL. You can write intermediate level SQL queries to manipulate data and power insightful reports
Able to interpret technical analysis. You can understand technical analysis completed by yourself or other analysts and can effectively explain that to a technical audience.
Able to tell stories with data through great data visualization and non-technical wording.
Analytical, analytical, analytical. Making decisions based on instinct raises a red flag for you. You think data is more important than opinions. You love finding patterns in data.

You Will



Work with the media team to




Synthesize large amounts of data from disparate sources into audience insights, content development ideas and marketing recommendations for internal teams & clients
Analyze data from Hudl but also YouTube, Facebook, Snapchat, Instagram and Twitter to develop actionable strategies that increase video viewership, post engagement and channel growth.
Oversee engagement analytics for brand partnership campaigns
Tell digestible stories to internal stakeholders and clients with data; build polished, scalable, insightful decks/spreadsheets that benchmark performance and emphasize recommendations
Manage internal tracking and reporting cadence for critical metrics and KPIs

You will also




Build and run SQL scripts. You will write SQL scripts to pull, aggregate, and transform data for reporting
Build, monitor, and maintain dashboards. You will create data visualizations and build dashboards to make sure Hudlies have the most relevant data and metrics at their fingertips to make more informed decisions.
Tell stories backed by data. You will analyze data and communicate insights that tell a powerful story that will drive stakeholder action.
Learn agile methodologies. You will learn to manage tasks and communication in an agile methodology.
Test. You will work closely with the rest of our Decision Science team to test changes to workflows, reporting, and analytic results and report problems back to the team.
Adjust and update database models. You will implement design changes to data models in Amazon Redshift designed by other data analysts to ensure accurate business reporting.
Manage and prioritize tasks. You will own projects from beginning to end and manage your tasks accordingly to achieve business objectives.
Partner with Stakeholders. You will work directly with consumers of our data projects to vet project ideas, prioritize work, collect feedback, and deliver results.

You Bring




3+ years experience in a highly analytical role
Experience in social media analytics, marketing analytics, audience analytics, consumer insights OR other applicable field at a media brand or marketing team/agency
2+ years experience cleaning and aggregating messy data sets for use in analytics
Proven ability to integrate multiple data sources and translate them into actionable insights that influence business partners

-----------------

Diversity at Hudl

-----------------



Hudl is an equal opportunity employer. We understand the power of a diverse teams, celebrate differences and champion inclusion."
"1572881445-1660","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Senior Data Science Analyst","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AafSo2WvTKTdtig8mIz8uV2y1gdMEOoCxWUCT9kuSVdAd_k2_QP5UmYFX_rQ1KergxmzSuYspTxvdOEU7NK46B3NGafkG5pdmL4D_9Oc1UBH4WdRLBFr2ysvh5OJl0EKokzzCQ_bF21Vodq0aR4bH7rFNcRO_KupJk8KQho3vfhR2L7t4c-rAHiy0-GDct2A5TxslBNbS9zKhjSbft1kPQUc5429J0_Lo2eO4LbTxblv1_TjTsYvMRl6ewAdrC-6bFMawY2cDH7s06V685gHAQnTPoBm_JV_M9Y5KfDEMhlRgLbYE56akapmKcyiAUGHhio1i6qAlCMHYDrBXlasUmSFBjIGMfxCIffjEXDFrnwq60R2higAxxgaWrvz-Umb6ZbH2ZdSAvAeRNuk8PSIv1NxMwX5ziZlL6TP1gaWLyLw==&p=0&fvj=0&vjs=3","Senior Data Science Analyst","TD Ameritrade","3.9 out of 5","","","639","TD Ameritrade639 reviews-Omaha, NE 68127","This position is responsible for developing complex algorithms and using advanced modeling techniques (e.g., predictive and prescriptive) to interpret data, extract insights, and help produce data science solutions to enable better decision-making. The role works with large data sets and leverages cutting edge machine learning techniques (e.g., neural networks, time-series forecasting, ensemble learning, and unsupervised learning) to train historical data to predict the validated course of action for pre-specified outcomes. The role requires integration of multiple data sets for feature creation, reduction, and selection to identify the most important unbiased drivers for the prediction. This role partners with the business to understand the business strategy and apply knowledge of statistical, mathematical, and advanced modeling techniques to ask the right questions to derive appropriate outcomes.


This associate collaborates with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.


Work with business to proactively identify opportunities for advanced analytics utilization
Identify business questions or hypotheses to be analyzed
Identify best statistical or modeling method to utilize
Review prediction and optimization factors
Collaborate with business and IT partners to support the big data and cloud computing strategy
Test and troubleshoot internal advanced analytics tools
Work closely with external vendors on support and maintenance of statistical and data modeling tools
Test and review custom datasets
Support production releases of big data and statistical tools
Review, test and document changes to processes, tools and architecture
Collaborate with analysts and data scientists to use expanded data sets and query techniques
Identify test groups and data sources
Identify control group to minimize bias
Independently conduct ad-hoc data mining activities
Present findings of small to medium-scale advanced analytics analyses to non-technical stakeholders
Work with business to identify and recommend additional test factors and re-test as needed
Participate in continuing education to enhance the level of advanced analytics knowledge and skills
Participate in research, consortiums, seminars, and events to obtain advanced analytics expertise


4 Year College Degree or Equivalent Experience
Graduate Degree Preferred in Computer Science, Information Systems, Data Science, Engineering, Mathematics, Business
3-5 related experience required
Experience with data science techniques such as profiling, a/b testing, ensemble learning, unsupervised learning, deep learning, feature reduction, time-series forecasting, Bayesian Statistics, etc.
Experience in data profiling, data mining, data cleaning, feature engineering and predictive analytics
Understanding of enterprise data warehouses and related data platforms
Hands-on experience with data tools and programming languages including SQL & Python
Must be proficient in developing and tuning Python & Postgres SQL
Experience with data visualization
Hands-on experience with big data & cloud computing
Experience of data models to support advanced/predictive analytics
Must be business-centric, data-oriented, analytically minded and results driven
Demonstrated critical thinking skills to scope and frame problems
Displays excellent judgment to propose effective, business driven solutions
Excellent interpersonal and relationship building skills to effectively educate and coach teammates and business partners
Military education or experience may be considered in lieu of civilian requirements listed
CDMP (Certified Data Management Professional) preferred
CBIP (Certified Business Intelligence Professional) preferred
CAP (Certified Analytics Professional) preferred
DGSP (Data Governance and Stewardship Professional) preferred
Military education or experience may be considered in lieu of civilian requirements listed"
"1572881423-1650","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Statistical Analyst II","https://www.indeed.com/rc/clk?jk=adec57c817e39eb5&fccid=75a3a5a15b202084&vjs=3","Statistical Analyst II","Experian","3.7 out of 5","","","1,150","Experian1,150 reviews-Lincoln, NE 68521","About Experian

Experian is a global leader in consumer and business credit reporting and marketing services and a constituent of the United Kingdom's FTSE 100 index, with revenues in excess of US$4.5 billion. We support clients in more than 80 countries and employ more than 17,000 people in 44 countries.



For more information, visit http://www.experianplc.com.



Role Purpose:



Develop statistical models and other empirically derived decision tools designed to support company and client business objectives. Participate in the development of process improvements for analytical processes and provide guidance in the application of statistical methods. Provide programming support in the development of new analytical tools designed to move Experian forward in the digital sphere.


Responsibilities:

Add strategic value to Experian by optimizing the use of information to drive more targeted, relevant and successful communications and interactions for Experian clientsDevelop strong relationships and work collaboratively with internal and external clients.Work with team members and various stakeholders to support new analytical opportunities by understanding the business challenge and determining the appropriate analytical solution to solve the problem with a consultative approach and an eye towards simplifying complex concepts for othersDefine data requirements and coordinate the receipt of data internally and externallyDisplay full ownership/responsibility/accountability for projects including project scoping, analysis design, project planning, and implementationWhen issues arise, communicate the issue with recommended course of action to appropriate stakeholdersGenerate analysis, including the creation of reports, documentation, score coding, and presentations as part of the analysis processWork with technology group to audit implemented model scores for accuracyDisseminate knowledge to group by sharing successful practices and methodologies

Requirements:

Master’s Degree in Statistics or a related field with professional experienceProficiency in SAS / R / Python / Alteryx / Spark / SQL or other statistical softwareProgramming experience with designing/coding programs, including automation of model buildingPossesses strong business acumen; one who is naturally curious and engaged about the entire operations of the company and who adds “value” beyond standard job dutiesAn exceptionally strong analytical thinker. Experience in machine learning and big data platforms (AWS, HDFS, etc.) is a plusSolid understanding of data practices, analytics, marketing data and data qualityA strong track record of innovation and able to thrive in a fast paced, dynamic, growth environmentPerpetually seeking ways to innovate within the business to improve results and customer experienceThinks strategically but stays on top of execution and tacticsWillingness to travel as required

Experian is an Equal Opportunity Employer. Anyone needing accommodation to complete the interview process should notify the talent acquisition partner. The word ""Experian"" is a registered trademark in the EU and other countries and is owned by Experian Ltd. and/or its associated companies.

EOE including Disability/Veterans"
"1572881379-1630","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Senior Data Analyst","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpEww9_0T5DjySkeN7-exRp0cNHCwXBSYo_IpFjZSalbnoHZ1w0CMHzaAsc9EOC8xz72FZIlgYBV5Xo9akaZxORrAK0iaqAhqxRrSkQL6StpB3XuFXjO7mlI_iHEpEcCAE0idWFW7b4_FJVusL1Rd31KZL1eoKasMhm9c2l6iQNL2TclDqgH64kBMLfQnX4kLZKF9WWADpOmq-FAcxRIGKq3AJbsLQING0-u5n4HgUyQQx_XbMFZFVj3j0ObcWiaAqAlvO2Ft64-tjR-0C9kRsz96QEQEjuulera9jf7Ygp3XkSOuUEZZ7ynkvANccP-wFUTz1IWHfW1nrUFHFOAgvwWGoTqNm9pGzZ&p=1&fvj=0&vjs=3","Senior Data Analyst","Hudl","4.2 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0&start=20","15","Hudl15 reviews-Omaha, NE 68197","Interested in working at Hudl? Awesome. Here's what you need to know.




Our goal is to change the way coaches, athletes and analysts prepare for and stay ahead of the competition. Whether it's with video, stats or a combination of the two, we want our tools to help every step of the way. That's why we're always hiring, and we need the best because a product is only as good as the people behind it.




Hudl is looking for an Engagement Data Analyst for its Media team. This is an exciting opportunity to translate data/research into actionable user, audience, content, and business insights.




You Are
Avid social media user and digital/social video content consumer; the first of your friends to know about digital trends and emerging platforms
A constant learner. You strive not just to learn, but to apply what you've learned in your personal and professional life.
Collaborative. You play well with others and have made each team you've worked on better.
An intermediate with SQL. You can write intermediate level SQL queries to manipulate data and power insightful reports
Able to interpret technical analysis. You can understand technical analysis completed by yourself or other analysts and can effectively explain that to a technical audience.
Able to tell stories with data through great data visualization and non-technical wording.
Analytical, analytical, analytical. Making decisions based on instinct raises a red flag for you. You think data is more important than opinions. You love finding patterns in data.
You Will




Work with the media team to
Synthesize large amounts of data from disparate sources into audience insights, content development ideas and marketing recommendations for internal teams & clients
Analyze data from Hudl but also YouTube, Facebook, Snapchat, Instagram and Twitter to develop actionable strategies that increase video viewership, post engagement and channel growth.
Oversee engagement analytics for brand partnership campaigns
Tell digestible stories to internal stakeholders and clients with data; build polished, scalable, insightful decks/spreadsheets that benchmark performance and emphasize recommendations
Manage internal tracking and reporting cadence for critical metrics and KPIs
You will also
Build and run SQL scripts. You will write SQL scripts to pull, aggregate, and transform data for reporting
Build, monitor, and maintain dashboards. You will create data visualizations and build dashboards to make sure Hudlies have the most relevant data and metrics at their fingertips to make more informed decisions.
Tell stories backed by data. You will analyze data and communicate insights that tell a powerful story that will drive stakeholder action.
Learn agile methodologies. You will learn to manage tasks and communication in an agile methodology.
Test. You will work closely with the rest of our Decision Science team to test changes to workflows, reporting, and analytic results and report problems back to the team.
Adjust and update database models. You will implement design changes to data models in Amazon Redshift designed by other data analysts to ensure accurate business reporting.
Manage and prioritize tasks. You will own projects from beginning to end and manage your tasks accordingly to achieve business objectives.
Partner with Stakeholders. You will work directly with consumers of our data projects to vet project ideas, prioritize work, collect feedback, and deliver results.
You Bring
3+ years experience in a highly analytical role
Experience in social media analytics, marketing analytics, audience analytics, consumer insights OR other applicable field at a media brand or marketing team/agency
2+ years experience cleaning and aggregating messy data sets for use in analytics
Proven ability to integrate multiple data sources and translate them into actionable insights that influence business partners
Diversity at Hudl

Hudl is an equal opportunity employer. We understand the power of a diverse teams, celebrate differences and champion inclusion."
"1572881392-1636","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Application Analyst (Java/.NET/AI)","https://www.indeed.com/rc/clk?jk=95db1cb0b0a57cba&fccid=1ea0475711674f3b&vjs=3","Application Analyst (Java/.NET/AI)","Fiserv, Inc.","3.4 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0&start=10","2,003","Fiserv, Inc.2,003 reviews-Omaha, NE","Help drive .NET and Java development for Telecom (CTI and IVR), AI/ML, CI/CD, and CRM.
Collaborate with peers and stakeholders to add or update system functionality.
Interpret business requirements and programming specifications.
Develop and maintain Server Side .NET middle ware and desktop applications that handle core business logic related banking systems.
Hands on development and data analysis to make better application decisions.***This is a great opportunity for developers who havean appetite to engage AI into production via IBM Watson****


5+ years Java/.NET development (.NET Preferred).
Experience with High-Volume, low latency, real-time, On-Line Transaction Processing.
1+ Relational Database SQL and JDBC (MS SQL preferred)
Demonstrated experience working on core business logic within applications.
3+ years concurrent programming in .NET.
3+ years source control system (GIT preferred).
Experience in Unix, Linux, and Microsoft environments.
BS in Computer Science or closely related field or equivalent experience.
Preferred:
Knowledge of business logic related to the financial industry and Contact Center Operations
Familiarity with development tools such as: JIRA, IntelliJ, Jenkins, Bitbucket, Confluence,Visual Studio, and Splunk


Learn more about Fiserv: Life moves fast. And as it does, we know most people aren’t thinking about “financial services” But we are. We help people and businesses move money and information every minute of every day. Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely. We’re Fiserv, a global leader in Fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. The company’s approximately 44,000 associates proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought. Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the sixth consecutive year, we are committed to excellence and purposeful innovation. Explore the possibilities of a career with Fiserv and Find Your Forward with us.


We welcome and encourage diversity in our workforce. Fiserv is an equal opportunity employer/disability/vet"
"1572881370-1626","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0","Senior Data Science Analyst","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AafSo2WvTKTdtig8mIz8uV2y1gdMEOoCxWUCT9kuSVdAd_k2_QP5UmYFX_rQ1KergxmzSuYspTxvdOEU7NK46B3NGafkG5pdmL4D_9Oc1UBH4WdRLBFr2ysvh5OJl0EKokzzCQ_bF21Y957J36nKU7oyXEp94vw261C2oiqG-axp_Ze-w5WBqLhf3ckcPtcZ54rM9B9TioIPAlYMsc0bKY0hZUNref7pIZTivJhXkA7ygKXPH9Niir87h1jUfhaqcu2oRhnLjZYkaKROT2hUEyddYBWZP1ocAuW6QTyaAli--4ith8GSiDCFvG2LQ_wXX-FXrOWb-2xehc3mcBIKrMk6B3BJYtkOoju2l10RMrNJRSOGptLk2iNjCa9DflP2BOdmWburSCKa23zxnspt-j3qsY2jeYkScXpdXrQmvPHg==&p=5&fvj=0&vjs=3","Senior Data Science Analyst","TD Ameritrade","3.9 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Nebraska&radius=0&start=20","639","TD Ameritrade639 reviews-Omaha, NE 68127","This position is responsible for developing complex algorithms and using advanced modeling techniques (e.g., predictive and prescriptive) to interpret data, extract insights, and help produce data science solutions to enable better decision-making. The role works with large data sets and leverages cutting edge machine learning techniques (e.g., neural networks, time-series forecasting, ensemble learning, and unsupervised learning) to train historical data to predict the validated course of action for pre-specified outcomes. The role requires integration of multiple data sets for feature creation, reduction, and selection to identify the most important unbiased drivers for the prediction. This role partners with the business to understand the business strategy and apply knowledge of statistical, mathematical, and advanced modeling techniques to ask the right questions to derive appropriate outcomes.


This associate collaborates with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.


Work with business to proactively identify opportunities for advanced analytics utilization
Identify business questions or hypotheses to be analyzed
Identify best statistical or modeling method to utilize
Review prediction and optimization factors
Collaborate with business and IT partners to support the big data and cloud computing strategy
Test and troubleshoot internal advanced analytics tools
Work closely with external vendors on support and maintenance of statistical and data modeling tools
Test and review custom datasets
Support production releases of big data and statistical tools
Review, test and document changes to processes, tools and architecture
Collaborate with analysts and data scientists to use expanded data sets and query techniques
Identify test groups and data sources
Identify control group to minimize bias
Independently conduct ad-hoc data mining activities
Present findings of small to medium-scale advanced analytics analyses to non-technical stakeholders
Work with business to identify and recommend additional test factors and re-test as needed
Participate in continuing education to enhance the level of advanced analytics knowledge and skills
Participate in research, consortiums, seminars, and events to obtain advanced analytics expertise


4 Year College Degree or Equivalent Experience
Graduate Degree Preferred in Computer Science, Information Systems, Data Science, Engineering, Mathematics, Business
3-5 related experience required
Experience with data science techniques such as profiling, a/b testing, ensemble learning, unsupervised learning, deep learning, feature reduction, time-series forecasting, Bayesian Statistics, etc.
Experience in data profiling, data mining, data cleaning, feature engineering and predictive analytics
Understanding of enterprise data warehouses and related data platforms
Hands-on experience with data tools and programming languages including SQL & Python
Must be proficient in developing and tuning Python & Postgres SQL
Experience with data visualization
Hands-on experience with big data & cloud computing
Experience of data models to support advanced/predictive analytics
Must be business-centric, data-oriented, analytically minded and results driven
Demonstrated critical thinking skills to scope and frame problems
Displays excellent judgment to propose effective, business driven solutions
Excellent interpersonal and relationship building skills to effectively educate and coach teammates and business partners
Military education or experience may be considered in lieu of civilian requirements listed
CDMP (Certified Data Management Professional) preferred
CBIP (Certified Business Intelligence Professional) preferred
CAP (Certified Analytics Professional) preferred
DGSP (Data Governance and Stewardship Professional) preferred
Military education or experience may be considered in lieu of civilian requirements listed"
