web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572882541-1789","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Data Visualization Specialist/Data Scientist","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZWekIwUlYGpJwrmjGfO7QAjVdo2LKerXaqIioKWtz_UA_zBNNjFXSwPYt4yRrT_UKMm4sx-aA4D5eeymo5FVV-dj77Zm9KJHrEJPief4lNEpVa3eYpKyIvedMg8kKGWlAQdlhokH_-bUeasWovwubPfxqmO0zmqLAx4DtPm5zbx7zvy-0m78mn8r5g3RPmtl9ZCabVAD0I-EbHIpaDUej3tRZ_xp86QfYib1xs_UC5H6CVfC9KPo0-5WScRH5KnriAW1P39ymnGPLDu8oh3AJbrpq1kCE-t_gDHVKFMQDwAI80uP4H2Wima-yIF900vfIJ-IsEW6ecEpWYqUV8Vj7I5kM98J0b7R2r5PNIIJkpkGzbh8ZLsV-jlpnAwgEn3SO6Q4QzPy8Z3iUXYFNnJdj&p=0&fvj=0&vjs=3","Data Visualization Specialist/Data Scientist","Karsun Solutions","4 out of 5","","","5","Karsun Solutions5 reviews-Oklahoma City, OK 73169","Overview



Karsun Solutions LLC is in the business of solving problems. Since 2009 as a premier consulting services company with a culture of innovation, Karsun offers a portfolio of Enterprise Modernization services to both civilian and defense Federal agencies. Karsun's list of strong clientele includes U.S. Department of Homeland Security, U.S. General Services Administration, and the Federal Aviation Administration. Karsun combines years of institutional knowledge with a deep commitment to customer relationships, on every project.





Responsibilities



Adaptive Maintenance (AM) is the management of existing Solution Delivery (SD) application and middle tier environments. The AM team proactively plans for upgrades and updates of current vendor products and for migrations to alternate vendor products. All efforts are carried out in a manner that improves the security and performance of applications while reducing the ongoing costs associated with system maintenance. Proactive planning allows FAA management to more accurately forecast resource and funding requirements and predict/plan for project dependencies.
The AM team utilizes product roadmaps, the Adaptive Maintenance Database (AMDB), and the Adaptive Maintenance Reporting System (AMRS) to analyze and plan their efforts. AMDB contains the infrastructure information needed to scope, plan, track, and report AM activities.
The person in this new position will assume the role of Data Scientist lead responsible for importing data from disparate sources, linking multiple data sources, dashboard calculations and presentation as required by the FAA customer.

Using data visualization tolls create dashboards and reports
Assume the role of technical/data visualization lead on the AMDB team
Create complex procedures, scripts, triggers, views, and constraints as required
Write complex SQL queries as needed in support of ad hoc management reporting

Required Skills:

Experienced with scripting languages such as Python
Extensive experience with Microsoft SQL Server (including stored procedures, views, and functions)
Experience writing complex SQL queries
Import & Export data from CVS and XLS file with translation capabilities
Experience working on teams with IT professionals and end users
Must be proficient with business intelligence and data visualization tools
Must have experience with tableau or similar data visualization tools to create reports and dashboards
Must have experience linking multiple data sources
Must be proficient with data analytics. For example, be able to analyze raw data and create a model to forecast staffing requirements.
Must be able to or have experience automating/scripting the hierarchy of data from the sources.
Desired Skills:

FAA experience a plus
Education/ qualifications:

Requires a bachelor's Degree in engineering, Math, or Science and a minimum of 15 years of relevant experience
The ability to successfully obtain and maintain a U.S. Suitability/Public Trust Background Clearance
Benefits:

Karsun Solutions pays 100% of employee only Medical, Dental, Life Insurance, Short Term Disability and Long-term disability.

We offer Vision coverage, 401(k) with immediate vesting and a competitive PTO policy.

Karsun Solutions is an Equal Employment Opportunity (EEO) employer. It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information
PI114770857"
"1572882515-1777","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Software Engineer Intern - Data Science & Solutions","https://www.indeed.com/rc/clk?jk=39068390c7bb470f&fccid=ae01f05d96d41784&vjs=3","Software Engineer Intern - Data Science & Solutions","Oklahoma City Thunder","4.3 out of 5","","","22","Oklahoma City Thunder22 reviews-Edmond, OK 73013","The Oklahoma City Thunder is an elite performance organization and a leading franchise in the NBA. Beyond any single game, season, or outcome, we’re driven to shape the future of our industry, our community and our own legacy in sports. So we’re looking for people who want to make an impact–individuals with the courage and ambition to think and work differently and an endless desire to push for progress. At the Thunder, you’re joining a culture that performs at the highest level and empowers you to realize your greatest potential.
As a Software Engineer Intern in Data Science & Solutions, your work is critical to uncovering valuable insights that help shape the organization’s future — influencing strategic planning, decision-making, and performance to create the optimal conditions for talent to thrive.
You will work with colleagues, external suppliers, and internal and external data sources to develop tools and analyze data to support basketball analytics, player evaluation, and physical research, areas crucial to the performance of the team.

RESPONSIBILITIES
Manage, implement, and maintain data systems and applications related to team and player performance, medical and physical performance, player identification and evaluation, and planning strategies
Develop impactful tools, systems, and ongoing deliverables
Collaborate with teammates on new research initiatives across various functions
Carry out other administrative tasks consistent with the policies and procedures of the NBA and OKC Thunder

QUALIFICATIONS
Currently enrolled in an accredited college or university, pursuing a degree in computer science or related field
Exceptional analytical and quantitative problem-solving skills
Some experience in areas such as front-end and back-end development, database administration, and cloud services
Some experience with development tools such as Python, Django, SQL, etc.
Experience working with and protecting confidential information
Strong communication skills — ability to deliver clear and effective messages to a variety of partners
Must be able to work on short notice

This is a paid internship reporting to the Director of Data Science & Solutions / Insight & Foresight.

FOR THOSE UP FOR THE CHALLENGE, LET’S TALK.

The Professional Basketball Club, LLC is an Equal Opportunity Employer. We consider applicants fairly on the basis of qualifications, experience, and business needs. We value diversity and support an inclusive environment for all employees."
"1572882508-1774","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrVH8ApA29CXP3y6n8K8TgdDUaiEqlegRxJ7RLC-mtMXXq-HBPAL3XoFosgkVdGHn3mfiwVjbw5T5IVQQQtG000JP0HgLn2Xp_daDOd4pjPsxEPLoVzUvMk6f4N-5HvOThuf8keFzyAnL6MeT-Hb_R1aGj78xlfA9UgMpVBlqYSCGukMM5YqlgN-2qhpQTHKCZlhV2Skw8ZRLTnY4jLOnbQK647udLES6Wkhj6j1o0KwKXjIDKZrfTGvKXsVW9WX3Op4baxQdZQQqmiGpQyViCnqlzuBXpZKGPKowe__37IxiQujphT4jm7GdNXGekPLzSHDkRXty7a4XMHDd0B-tdk3_w_FHGVLcxIrVQNHu5lTQH6bbyKgbgzs-2cz1Ny-YHRgFxH2yGqkjDtymfTA4y2r&p=1&fvj=1&vjs=3","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","i-Pharm Consulting","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","null","i-Pharm Consulting-United States","The Principal Statistician is responsible for developing statistical solutions to optimally support all phases of clinical trials and decision making. The successful candidate will function as the study statistician and be accountable for study level deliverables. The role will include key trial statistician responsibilities including statistical design, authoring of SAPs, and conducting just-in-time analyses and data exploration. Industry experience is preferred.Responsibilities:Act as the primary point of contact for all statistical analysis and development; working as a lead of both Statisticians and Programmers on study and database designDevelop guidelines for drafting SAPs and creating statistical models for study insightsReview and at times create specs for programmers following CDISC guidelinesProvides leadership to junior staff regarding synopsis, protocol, SAPs, clinical study report, and other regulatory submission documentsIdentify and interact with external statistical experts for issues related to study design, methodology and resultsStay up-to-date with Biomarker applications and statistical methodologyAbility to build powerful networks within and outside the company and use these relationships to achieve support for the planning and implementation of innovative approaches.Define strategy around managing CRO and vendor delivery timelineDevelop and automate statistical analysis and visualization tools for scientists and other statisticians.Qualifications:PhD in statistics or related field with preferably 1-3 years of relevant pharmaceutical research experience with high-dimensional biomarker data from clinical trials, or Masters in statistics or related field with at least 5 years of relevant experience and demonstrated potential of applying advanced statistical methods.Strong statistical foundation with a wide breadth of interest and expertise in classical and modern statistical and machine learning methods.Ability to apply innovative and fit-for-purpose statistical methods to the analysis of biomarker and high dimensional data from clinical trials.Strong programming skills in R, with demonstrated potential to develop and automate analysis scripts and tools for broader use.Excellent interpersonal and communication skills, with strong potential to build and maintaining strong working relationships.Ability to explain complex statistical concepts in simple and practical terms to non-statisticians.Job Type: Full-timeSalary: $130,000.00 to $150,000.00 /yearExperience:Oncology: 1 year (Preferred)Biostatistics: 7 years (Required)"
"1572882495-1768","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Senior Statistical Programmer – 100% Remote – Consultancy","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrWBlyJUZMpriiUb6GaB25KNs5m8DiCza4Spz07B6Rl3YreU9YuN9Wq7M28a9vZxhYBnmEX4a5Fqz1gGI_Em-qp9zWl_Rw-w24xcshMSt7aEYCSVoC7_Rpy6wbnEl1Zuktv6drdmpO6107wx5zABnsM3TZDJMqxfayYfEbxpT1kcIS-Iy5kg06fnRRjFf-kGZGS5zs0V6UQGyU8DyA544_a4wcpWU9EjdYuHuEM0XYXS8ot2zBJeEK5x2qunWPLBvi__R6qwYhIHHD4D9mCzbz77DjOvS66TsaWeEmuk6A9wcE7pqFboNBHNZx76da9e4kCV-2FJI2m4Z2slJuYrWSEaORLTcymIDPwUO2-xynTVhNMukokkbUwOhViiyuSF8oqfgbMLkhmrloTZjKvR4eYW&p=7&fvj=1&vjs=3","Senior Statistical Programmer – 100% Remote – Consultancy","i-Pharm Consulting","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","null","i-Pharm Consulting-United States","Senior Statistical Programmer – 100% Remote – Consultancy Senior Statistical Programmer required to work for a fantastic medium sized CRO. They are a full-service CRO with a premium reputation within the life sciences industry. Their high-performance company environment means that you will always be appraised for the work you do. It’s a supportive working culture with a corporate structure that promotes career growth.This position is 100% Remote.JOB TITLESenior Statistical Programmer / Snr Stats Programmer / Senior SAS ProgrammerLOCATIONUSA / Home based / RemoteSALARY Highly competitive salary (DOE)ROLE/DESCRIPTIONYou will be the ‘go to’ person and serve as the Lead Statistical Programmer for a variety of different and exciting projectIn a nutshell - you will lead continuous improvement in the programming function’s operating systems and provide consultancy across the Statistical Programming functionAs the Lead Programmer, you will plan and deliver all study programming activities; programs for derived datasets, CDISC (SDTM and ADaM) datasets, tables, figures and listings, and program validation.Liaise and collaborate with various departments, sponsors and all third parties to ensure delivery requirements meet the client needs.Spearhead a department maintenance to ensure a high level of expertise in SAS applications (e.g. BASE, MACRO, GRAPH, ODS, SQL) and all other software applications.Provide expertise to CDM, Programmers, and Statisticians on programming and associated software support.Other expectations for the role: Extract information from the system during trial, Validate software, Provide project support on the statistics reporting process and Leading the development of in-house programming standardsREQUIREMENTSAt least 7+ years SAS Programming experience.Bachelor’s Degree or equivalent in Mathematics, Statistics, Computer Science (Masters Degree is a decided advantage)Recent expertise in full oversite and Leading a studySignificant CDISC compliance exposureExpert knowledge in SAS/Macro, Proc Report, and ODS.Unparalleled communication skills and the ability to lead/influence othersBe a real life “self-starter”ABOUT i-PHARM CONSULTINGi-Pharm Consulting is a specialist Recruitment Company servicing the Pharmaceutical industry in the USA, Europe and Asia Pac. We provide both permanent and contract staff to a wide range of Pharmaceutical, Medical Device, Biotechnology and Contract Research Organisations (CROs). i-Pharm has specific expertise in Clinical Research, Medical Affairs, Regulatory Affairs, Pharmacovigilance, Quality Assurance and Bioinformatics.www.i-pharmconsulting.comTO APPLYIf you would like to discuss this vacancy further, please call Practice Lead David Fearnley on +1 (718) 514-9604. If this role is not suitable, David is also available to discuss other possible positions or answer any general questions regarding your career and the current market.KEY WORDSSenior Statistical Programmer / Snr Stats Programmer / Senior SAS Programmer / CDISC / SDTM / ADaM / CRO / Clinical / Research / Statistical / Programmer / GCP / Projects / SAS / BASE / STAT / GRAPH / MACRO / Stats / Home based / Data / Data sets / Lead / Therapy / Clients / Meetings / Maintenance / Continues ImprovementJob Type: Full-timeExperience:SAS Programming: 7 years (Required)Work authorization:United States (Required)"
"1572882506-1773","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Data Scientist - Intern","https://www.indeed.com/rc/clk?jk=b1254440e7b8ab45&fccid=a32e98f157e73e61&vjs=3","Data Scientist - Intern","Heartland","3.3 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","326","Heartland326 reviews-Edmond, OK","Summary:
Heartland’s Business Enablement team is looking for a Promising Entrepreneur (known as an Intern elsewhere) to join our dynamic group for Summer 2020! As a Data Science PE for the Heartland Business Enablement team, you will work to gather and translate data that has been collected about Heartland’s service programs into a format to enable better business decisions You will also work on projects in a Scrum based agile team and be responsible for all phases of the software development lifecycle.




In addition, you will be given a unique responsibility to undergo a project assessment, handed by the Sr. Director of Business Intelligence to be presented along with facts and recommendations to Executive Leadership of Business Intelligence and Business Enablement.
Job Details:
Essential Duties:
Gather Data from Internal and External Sources
Coordinate with Product Teams to Identify Critical Data to Capture
Inspect and Cleanse Data
Consolidate and Summarize Data for Business Decision Making in Useful Formats
Perform Basic Statistical Analysis (correlation, regression, or time series analysis)
Review tasks and assist with duties of the Senior Data Analyst
Other responsibilities as assigned.
Required Qualifications:
Must be enrolled in a Business Analytics program at an accredited university
At a minimum intermediate level with Excel, Access, PowerPoint, and Word.
Experience writing T-SQL a plus
Knowledge with AWS or Azure is a plus
Strong communication skills.
Strong troubleshooting, programming and analytical skills.
Global Payments Inc. is an equal opportunity employer.
Global Payments provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, marital status, sexual orientation, gender identity or expression, disability, veteran status, genetic information or any other basis protected by law. Those applicants requiring reasonable accommodation to the application and/or interview process should notify a representative of the Human Resources Department."
"1572882504-1772","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Senior Business Data Analyst","https://www.indeed.com/rc/clk?jk=4a37697fa992bd49&fccid=cf5196913cc8e0f9&vjs=3","Senior Business Data Analyst","Mach Resources","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","null","Mach Resources-Oklahoma City, OK 73134","Job Description

Experience implementing data warehouse standards and methodologies
Experience cleaning, structuring, and enriching data into a desired format for increased productivity in downstream uses
Analytical tools and programming languages –SQL (including SSRS and SSIS), Spotfire (or other data visualization tools), Big Data tools, R, Python, SAS or other modeling language
Advanced analytics, mathematical modeling, programming, data architecture, machine learning, data mining, and predictive analytics
Data science as a full process; Define and/or discover the business needs and appropriate use case, data collection and management



 Key Qualifications
 College degree emphasis in Business, Computer Science, Information Systems, Data Science, or Engineering and Mathematics are preferred"
"1572882511-1775","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Data Science Specialist USA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuv5sIOLoiF5i47oZbZSPWsTv5cOBBBEatGYG7q5LHJAcMJiXt0YcTvLLoCxWKbN0qg2SOXwLKJnv8xrLH0kVoFOICED7oue-pXfEOfWKll96UjZEATPiJIfT9nEKLuPIAW0VU1QOHAA03iSTfWfxeR71AMiNMaHQfO9pzYMV9J_7ohBsZ0JrgmiK6xSClKTSTBWxViu1dPe34q69RfiOR1-KG6VnF9VpUllFHPD7h-_5MAb0-7QMF1sADwZ6kU7zPwDEx5CJqljgM4GvOANfaAoZUfsGDYFMjk3_zTjqH_KOt8CWhepfHnhdbKH7zM5idkB0HakqkYdXKQS4bW0IvA9QcXzT_j910KgoP8tPNlYbDYo_Mh4hCmOK4xxtFEBlTCpdNBNSHbji2bBBuDPGuhVSvhqQhSyiNNTyV086wRtEXWuXOdNa-Lmu6hcgmty9bOrOuMDlqdX-PFd9IpEnko6HSxciMwOcBS2VxpOOaGV&p=0&fvj=0&vjs=3","Data Science Specialist USA","Mphasis","3.8 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","2,325","Mphasis2,325 reviews-United States","Note: This position is accepting applicants for- New York and Texas.
Skills :
Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
Great communication skills
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}}
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}}
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Qualification:
TECH (Computer Science Engineering/ IT)/ MCA
What’s in for you?
At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance.
With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization.
You get an open and transparent culture along with freedom to experimentation and innovation"
"1572882493-1767","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Senior Statistical Programmer – 100% Home Based – CRO","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrXZJKstr_1Nm9Bxlm9XmUifAqElOg5uC8RIXd89SOcS7nuJ5hbOzMC9h8f-qjpuCeu2f7zZA7L_686rXbGtJTyumunJdxQvuKIYZS6qVg2CyT_7yyL_fTU_BCCEYv9-dtD211Z8Am38ccTRPe-Cl8AXjEu_T5qqkoMka6cfQsuVTFBaQlDPShNvliDoaUU5xKSmWw1FGXfOTJRfPipqdLnmvcKcnlqvpMBpm1A5Aqee2Bke0mW0ZM-X180o2tPSOGWMUREtir1lZv4kJUfDARc1H8OIJVCu7Xaz-JMJRHq_YqyUtr_kTdQH-WFl-YZOWzVEDM0V5Cw4vRZZUZ3cbrtDVnnmJQSDkBxVRXSVS5Fx6jYy7y2EDNdv03dntxmZGJtQNy8dJKXJSHf9R_klTQJO&p=8&fvj=1&vjs=3","Senior Statistical Programmer – 100% Home Based – CRO","i-Pharm Consulting","null","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","null","i-Pharm Consulting-United States","Senior Statistical Programmer – 100% Home based – CRO Senior Statistical Programmer required to work for a true global CRO leader. As a best in service fully end-to-end clinical solutions organization they offer their premium portfolio of client’s concise expertise to a complex marketplace.This position is 100% home based.JOB TITLESenior Statistical Programmer / Snr Stats Programmer / Senior SAS ProgrammerLOCATIONUSA / Home basedSALARY Highly competitive salary (DOE)ROLE/DESCRIPTIONYou will be the ‘go to’ person and serve as the Lead Statistical Programmer for projects of different complexitiesIn a nutshell - you will assist in managing project budgets and tracking project specific performance metrics. Also, function as an internal and external customer liaison.You will SAS software (BASE, STAT, GRAPH, MACRO) to produce well formatted datasetsFrom a quality control (QC) perspective - ensure that outputs of mapped and analysis datasets, tables, listings, and figures and other programming activities are meeting quality standards.As the lead – you will be responsible for: directing the programming activities of other programming personnel, and monitoring progress on deliverables, reviewing project documentation; Statistical Analysis Plan, mock shells, programming specifications, annotated CRFs, and SAS database design, and provide feedback to project team members.You will take part in sponsor meetings, kick-off meetings, and bid defense meetings as Statistical Programming representative (as required by sponsor)Importantly, you be responsible for managing schedule and time constraints across multiple projects, sets goals based on priorities, and priority changes by reorganizing daily workload.REQUIREMENTSAt least 7+ years SAS Programming experience.Bachelor’s Degree or equivalent in Mathematics, Statistics, Computer Science (Masters Degree is a decided advantage)Recent expertise in full oversight and Leading a studySignificant CDISC compliance exposureUnparalleled communication skills and the ability to lead/influence othersBe a real life “self-starter”ABOUT i-PHARM CONSULTINGi-Pharm Consulting is a specialist Recruitment Company servicing the Pharmaceutical industry in the USA, Europe and Asia Pac. We provide both permanent and contract staff to a wide range of Pharmaceutical, Medical Device, Biotechnology and Contract Research Organisations (CROs). i-Pharm has specific expertise in Clinical Research, Medical Affairs, Regulatory Affairs, Pharmacovigilance, Quality Assurance and Bioinformatics.www.i-pharmconsulting.comTO APPLYIf you would like to discuss this vacancy further, please call Practice Lead David Fearnley on +1 (718) 514-9604. If this role is not suitable, David is also available to discuss other possible positions or answer any general questions regarding your career and the current market.KEY WORDSSenior Statistical Programmer / Snr Stats Programmer / Senior SAS Programmer / CDISC / SDTM / ADaM / CRO / Clinical / Research / Statistical / Programmer / GCP / Projects / SAS / BASE / STAT / GRAPH / MACRO / Stats / Home based / Data / Data sets / Lead / Therapy / Clients / MeetingsJob Type: Full-timeExperience:SAS Programming: 7 years (Preferred)Work authorization:United States (Required)"
"1572882502-1771","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Ultimate Hoops Statistician","https://www.indeed.com/rc/clk?jk=aa4e387001cfdaa5&fccid=60eb11476904a56f&vjs=3","Ultimate Hoops Statistician","Life Time","3.6 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","2,438","Life Time2,438 reviews-Tulsa, OK 74133","Description
Position Summary
The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full statistics for League games.
Job Duties and Responsibilities
Assures all players are checked in and present on official scoresheets
Tracks all relevant statistics during games
Works closely with League Coordinator to ensure member satisfaction
Assists in game preparations and/or clean up as needed
Actively promotes Ultimate Hoops and Life Time Fitness to members and non-members
Articulates extensive knowledge of Ultimate Hoops and Life Time Fitness programs, products, services, policies and procedures to prospective and current members

Position Requirements
High School Diploma or GED
Experience tracking full statistical data for basketball games"
"1572882497-1769","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0","Data Visualization Specialist/Data Scientist","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZWekIwUlYGpJwrmjGfO7QAjVdo2LKerXaqIioKWtz_UA_zBNNjFXSwPYt4yRrT_UKMm4sx-aA4D5eeymo5FVV-dj77Zm9KJHrEJPief4lNEpVa3eYpKyIvedMg8kKGWlAQdlhokH_-bUeasWovwubXsKzLA8Hfy2Yp9JZegFewBzsm5xB-okOhidC70DPVPbYQ2Zzxl-Xv5Cu8kW9YIMY0hbMfjVzurjuZpHe1boKF4StU11iuLIloEvsaG0NnLp5udMqPjwc_N83mHMIRxhObzk2-k-3xzmu7zy4Ad3D_dot5h2e1HHJeBKkH7f-CNyTrexnXbGbAlK0l6DsgGW0TZNp2K6fDm9b3eS9RvQnYxW1IO40Dt7OaqEjDbaIG4lDtBWkHrvor06ybWjf0NiM&p=6&fvj=0&vjs=3","Data Visualization Specialist/Data Scientist","Karsun Solutions","4 out of 5","Next »","https://www.indeed.com/jobs?q=data+scientist&l=Oklahoma&radius=0&start=10","5","Karsun Solutions5 reviews-Oklahoma City, OK 73169","Overview



Karsun Solutions LLC is in the business of solving problems. Since 2009 as a premier consulting services company with a culture of innovation, Karsun offers a portfolio of Enterprise Modernization services to both civilian and defense Federal agencies. Karsun's list of strong clientele includes U.S. Department of Homeland Security, U.S. General Services Administration, and the Federal Aviation Administration. Karsun combines years of institutional knowledge with a deep commitment to customer relationships, on every project.





Responsibilities



Adaptive Maintenance (AM) is the management of existing Solution Delivery (SD) application and middle tier environments. The AM team proactively plans for upgrades and updates of current vendor products and for migrations to alternate vendor products. All efforts are carried out in a manner that improves the security and performance of applications while reducing the ongoing costs associated with system maintenance. Proactive planning allows FAA management to more accurately forecast resource and funding requirements and predict/plan for project dependencies.
The AM team utilizes product roadmaps, the Adaptive Maintenance Database (AMDB), and the Adaptive Maintenance Reporting System (AMRS) to analyze and plan their efforts. AMDB contains the infrastructure information needed to scope, plan, track, and report AM activities.
The person in this new position will assume the role of Data Scientist lead responsible for importing data from disparate sources, linking multiple data sources, dashboard calculations and presentation as required by the FAA customer.

Using data visualization tolls create dashboards and reports
Assume the role of technical/data visualization lead on the AMDB team
Create complex procedures, scripts, triggers, views, and constraints as required
Write complex SQL queries as needed in support of ad hoc management reporting

Required Skills:

Experienced with scripting languages such as Python
Extensive experience with Microsoft SQL Server (including stored procedures, views, and functions)
Experience writing complex SQL queries
Import & Export data from CVS and XLS file with translation capabilities
Experience working on teams with IT professionals and end users
Must be proficient with business intelligence and data visualization tools
Must have experience with tableau or similar data visualization tools to create reports and dashboards
Must have experience linking multiple data sources
Must be proficient with data analytics. For example, be able to analyze raw data and create a model to forecast staffing requirements.
Must be able to or have experience automating/scripting the hierarchy of data from the sources.
Desired Skills:

FAA experience a plus
Education/ qualifications:

Requires a bachelor's Degree in engineering, Math, or Science and a minimum of 15 years of relevant experience
The ability to successfully obtain and maintain a U.S. Suitability/Public Trust Background Clearance
Benefits:

Karsun Solutions pays 100% of employee only Medical, Dental, Life Insurance, Short Term Disability and Long-term disability.

We offer Vision coverage, 401(k) with immediate vesting and a competitive PTO policy.

Karsun Solutions is an Equal Employment Opportunity (EEO) employer. It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information
PI114770857"
