web-scraper-order,web-scraper-start-url,link,link-href,job_title,company,rating,next,next-href,reviews,location,job_description
"1572882771-1808","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Data Scientist","https://www.indeed.com/rc/clk?jk=cc21a394333f362b&fccid=578fa8376f4eec04&vjs=3","Data Scientist","ManTech International Corporation","4 out of 5","","","1,465","ManTech International Corporation1,465 reviews-Williston, VT","Secure our Nation, Ignite your Future
ManTech is a leading provider of cloud managed services, agile software development, DevOps, systems engineering, and IT service management. We work collaboratively with multiple Department of Homeland Security (DHS) and Federal Civilian agencies to solve their biggest challenges through a commitment to delivering innovation, agility, and maximum value. The ManTech Team is empowered to think outside of the box and provide innovative solutions to our customers, as well as measurable cost savings. We are searching for clearable candidates to support our DHS U.S. Citizenship & Immigration Services (USCIS) customer in the Williston/South Burlington, VT and Washington DC/Bethesda, MD areas. ManTech is searching for dedicated, full-time employees to support our current contract: Support for Platform Engineering & DevOps Integration (SPEDI). ManTech provides a full employment benefits package, which also includes health insurance; 401(k) matching; free Bachelor’s and/or Master’s degree programs in Cyber Security, Data Analytics, and Cloud Computing & Enterprise IT; free training and certifications through a partnership with Skillsoft; corporate programs that promote continued learning and career progression.
ManTech is seeking a Data Scientist to join our Architecture & Engineering Services (AES) contract, in support of U.S. Citizenship and Immigration Services (USCIS), Office of Information Technology (OIT), Engineering Infrastructure Division (EID).
The AES Program is working to create one high performing team made up multiple smaller high performing teams. We are looking for the right person to serve as Data Scientist on our Performance & Capacity Planning Team.
The successful AES candidate will embrace our exciting mission to provide information technology expertise, strategic vision, and tactical implementations using frameworks that require virtualized, scalable, cost-effective cloud services, utilizing DevOps practices. This position typically works under limited supervision and direction. The selected candidates will be an inclusive team member who exhibits the following characteristics:
Embraces collaborative work
Communicates well
Engages role with initiative
Acts as an individual contributor for change
Maintains optimism
Is adaptable
The duties include but are not limited to:
Performance and capacity planning for all solutions during Architecture and Engineering phase, prior to implementation.
Analysis of end to end performance impacts and costs associated both monetarily and operationally.
Capacity analysis, bandwidth studies, and risk-analysis reports should be delivered prior to the delivery of any engineering solution, so as to not negatively impact the enterprise LAN/WAN and Cloud Interconnects.
Achieve maximum network performance for the enterprise users on both wired and wireless, as well as for remote teleworkers.
Produce repeatable reports that evaluate capacity and identify areas where improvements can be implemented.
Analyze specifications and capacity and undertake appropriate calculations to estimate resource requirements, in terms of labor, tools and materials.
Create capacity plans that meet Government defined business targets and optimize efficiency and costs.
Evaluate solution requirements and deliver minimum and maximum performance metrics to set thresholds; forecast when under or over conditions exist; provide mitigation/corrective action strategy.
Identify and document potential pitfalls, issues, challenges, and potential resolution strategies.
Provide continuous review of software and hardware solutions so that the organization can better anticipate customer needs.
Qualifications
Bachelor's degree in Computer Science, or related field preferred. 15+ years of experience.
The candidate must be capable of supporting the following tools, or similar tools:
Solarwinds
Riverbed Steelhead family suite
Steel Central Controller
NetProfiler
NetCollector
Steel Central Mobile Controller
Steel Central ARX
Not limited to.
AIX
ATX
App Doctor
NetPlanner
NetAuditor
Stealthwatch
SCOM
New Relic
Azure Log analytics
NetApp On-Command Insight.
Dell OME
Cisco UCS Manager
APC StructureWare
Other :
Clearance Requirements – U.S. Citizen with the ability to obtain Public Trust and complete DHS Security Clearance; Ability to obtain DHS EOD suitability or Current DHS EOD highly preferred.
Location – Bethesda, MD
ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.
If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information."
"1572882780-1812","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Sr. Data Scientist","https://www.indeed.com/company/IXIS-Digital/jobs/Senior-Data-Scientist-04cc940207556872?fccid=3f1ca348cd4a74d6&vjs=3","Sr. Data Scientist","IXIS Digital","null","","","null","IXIS Digital-Burlington, VT","Overview IXIS is seeking an energetic and innovative quantitative researcher with expertise in classical statistics and predictive modeling and a proven ability to execute data-driven initiatives to fill the position of Senior Data Scientist for the company. This is an onsite position located in Burlington, VT. The core responsibilities for this role include leading the design of sophisticated and creative quantitative solutions—frequently through integration of novel data sources—and executing these solutions programmatically/reproducibly within a team environment. This team member must be able to provide realistic estimates for hours and timelines needed to produce deliverables. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling (using R or Python) with strong critical thinking and “data IQ” skills to translate client questions into quantitative approaches that produce actionable insights.Responsibilities Design and execute quantitative analyses to extract actionable insights that directly address client needs and questionsImport, clean, integrate, explore, and visualize large datasets to support ongoing research projects and ad hoc client requestsUse R/Python and other software tools (SQL, Rmarkdown, git, and others) to ensure that quantitative analyses are reproducible and extensibleWork with data engineers to plan, implement, and automate integration of external data sources across a variety of architectures, including local databases, web APIs, CRM systems, etc.Work with our quantitative and development teams to design and implement automated data analysis and predictive modeling technologies in support of client deliverablesParticipate in quantitative requirements meetings to build supporting evidence for retail and digital strategiesCollaborate with technical, development, database and QA engineersPrioritize multiple tasks intelligently and maintain clear lines of communication with supervisor, team, and clientsRequired Skills and Experience B.A./B.S. in Computer Science; or B.A./B.S. in a quantitative area (such as Statistics, Mathematics, Data Science or Economics) with a minor (or equivalent experience) in Computer Science. Post-graduate degree preferred. Commensurate professional experience will be considered2+ years’ professional experience with programmatic data analysis and visualization using R/Python and common packages (tidyverse, ggplot2, data.table, NumPy, Pandas); must be adept at writing your own functions and using common programming idioms for analyzing dataExperience working with real-world datasets, including database queries, data aggregation, record linkage, data cleaning/reshaping/management, and descriptive data analysis; data visualization and automated reporting experience preferredExcellent attention to detail, critical thinking skills, and a systematic and creative approach to problem-solving, with strong data intuitionAbility to work well with a team and on a deadlineSelf-motivated to develop and learn new skillsDesired Skills and ExperienceFormal training in research design (experimental and non-experimental) and statistical testing, including classical significance tests, linear models, survival analysis, and timeseriesExperience with digital analytics (such as Google Analytics or Adobe Analytics) and e-commerce/marketing fundamentalsFounded in 2012, IXIS is rooted in innovative processes for data-driven digital experience and strategic online planning. Our mission is to integrate and synchronize traditional and digital marketing initiatives to recalibrate and connect brands across converging media. We offer competitive compensation packages, flexible work schedules, and exceptional growth opportunities.Job Type: Full-timeJob Type: Full-timeLocation:Burlington, VT (Preferred)Work authorization:United States (Preferred)Work Location:One locationBenefits:Health insurancePaid time offSchedule::Monday to Friday"
"1572882783-1813","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Senior Statistical Programmer – 100% Home Based – CRO","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrXZJKstr_1Nm9Bxlm9XmUifAqElOg5uC8RIXd89SOcS7nuJ5hbOzMC9h8f-qjpuCeu2f7zZA7L_686rXbGtJTyumunJdxQvuKJawLvgvvXu9DI1bCB05Uz4tuVjQOXXEgFnx7W6_24X3BVOOG2uOMMkAUyQ9f50KQIInuxANrCVEPP0sAkF36U5KQ5RId0_eMSm-HFSiQDPsuukFLSMmDtVPuTDgI1lWHOk8jOD7YbTKZolT8BZsTNPxO-wFiCD7jWk4Mnamu6TKbYt1zmw3lOz-Xm55yjFMSRrzcFlD20-_5h2NEAxsKHRIAy_vCcogUB2gWDYHgizl5og6QZEh3iRLewJexJlh85-l4LB-5320vlrlVvvEqea1HJrx4RusuX8PAtf6E2uaQ==&p=2&fvj=1&vjs=3","Senior Statistical Programmer – 100% Home Based – CRO","i-Pharm Consulting","null","","","null","i-Pharm Consulting-United States","Senior Statistical Programmer – 100% Home based – CRO Senior Statistical Programmer required to work for a true global CRO leader. As a best in service fully end-to-end clinical solutions organization they offer their premium portfolio of client’s concise expertise to a complex marketplace.This position is 100% home based.JOB TITLESenior Statistical Programmer / Snr Stats Programmer / Senior SAS ProgrammerLOCATIONUSA / Home basedSALARY Highly competitive salary (DOE)ROLE/DESCRIPTIONYou will be the ‘go to’ person and serve as the Lead Statistical Programmer for projects of different complexitiesIn a nutshell - you will assist in managing project budgets and tracking project specific performance metrics. Also, function as an internal and external customer liaison.You will SAS software (BASE, STAT, GRAPH, MACRO) to produce well formatted datasetsFrom a quality control (QC) perspective - ensure that outputs of mapped and analysis datasets, tables, listings, and figures and other programming activities are meeting quality standards.As the lead – you will be responsible for: directing the programming activities of other programming personnel, and monitoring progress on deliverables, reviewing project documentation; Statistical Analysis Plan, mock shells, programming specifications, annotated CRFs, and SAS database design, and provide feedback to project team members.You will take part in sponsor meetings, kick-off meetings, and bid defense meetings as Statistical Programming representative (as required by sponsor)Importantly, you be responsible for managing schedule and time constraints across multiple projects, sets goals based on priorities, and priority changes by reorganizing daily workload.REQUIREMENTSAt least 7+ years SAS Programming experience.Bachelor’s Degree or equivalent in Mathematics, Statistics, Computer Science (Masters Degree is a decided advantage)Recent expertise in full oversight and Leading a studySignificant CDISC compliance exposureUnparalleled communication skills and the ability to lead/influence othersBe a real life “self-starter”ABOUT i-PHARM CONSULTINGi-Pharm Consulting is a specialist Recruitment Company servicing the Pharmaceutical industry in the USA, Europe and Asia Pac. We provide both permanent and contract staff to a wide range of Pharmaceutical, Medical Device, Biotechnology and Contract Research Organisations (CROs). i-Pharm has specific expertise in Clinical Research, Medical Affairs, Regulatory Affairs, Pharmacovigilance, Quality Assurance and Bioinformatics.www.i-pharmconsulting.comTO APPLYIf you would like to discuss this vacancy further, please call Practice Lead David Fearnley on +1 (718) 514-9604. If this role is not suitable, David is also available to discuss other possible positions or answer any general questions regarding your career and the current market.KEY WORDSSenior Statistical Programmer / Snr Stats Programmer / Senior SAS Programmer / CDISC / SDTM / ADaM / CRO / Clinical / Research / Statistical / Programmer / GCP / Projects / SAS / BASE / STAT / GRAPH / MACRO / Stats / Home based / Data / Data sets / Lead / Therapy / Clients / MeetingsJob Type: Full-timeExperience:SAS Programming: 7 years (Preferred)Work authorization:United States (Required)"
"1572882767-1806","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Senior Statistical Programmer – 100% Remote – Consultancy","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrWBlyJUZMpriiUb6GaB25KNs5m8DiCza4Spz07B6Rl3YreU9YuN9Wq7M28a9vZxhYBnmEX4a5Fqz1gGI_Em-qp9zWl_Rw-w24yDlQKmrZUxuDVWIGgwXr8FZpUR4ho0gO_QBgNYurrT2xOTdwCq9LH3k1DOmB5GctZyu10fX85hmuipMqVXO3iknopTN25EA6FlK4gQqqZ2iTLhM_ACTgl_u1iASpSWPTvIer8kL62Un0OZINmyTKoQlSF0m5_T8cyNnV5Bezs4ccYW1eD-vP-_Yh0GHOP0BbAifHAnUYHlzG4AywtTcNppDEVEzhIFBiRIiWJfDMVNTTlg6t8D1lY979z9IJX1HbG4iT8xOesUdv1uZGZEFygaszyYgXg-USNow8rxSApaberW1YxHyBZN&p=9&fvj=1&vjs=3","Senior Statistical Programmer – 100% Remote – Consultancy","i-Pharm Consulting","null","","","null","i-Pharm Consulting-United States","Senior Statistical Programmer – 100% Remote – Consultancy Senior Statistical Programmer required to work for a fantastic medium sized CRO. They are a full-service CRO with a premium reputation within the life sciences industry. Their high-performance company environment means that you will always be appraised for the work you do. It’s a supportive working culture with a corporate structure that promotes career growth.This position is 100% Remote.JOB TITLESenior Statistical Programmer / Snr Stats Programmer / Senior SAS ProgrammerLOCATIONUSA / Home based / RemoteSALARY Highly competitive salary (DOE)ROLE/DESCRIPTIONYou will be the ‘go to’ person and serve as the Lead Statistical Programmer for a variety of different and exciting projectIn a nutshell - you will lead continuous improvement in the programming function’s operating systems and provide consultancy across the Statistical Programming functionAs the Lead Programmer, you will plan and deliver all study programming activities; programs for derived datasets, CDISC (SDTM and ADaM) datasets, tables, figures and listings, and program validation.Liaise and collaborate with various departments, sponsors and all third parties to ensure delivery requirements meet the client needs.Spearhead a department maintenance to ensure a high level of expertise in SAS applications (e.g. BASE, MACRO, GRAPH, ODS, SQL) and all other software applications.Provide expertise to CDM, Programmers, and Statisticians on programming and associated software support.Other expectations for the role: Extract information from the system during trial, Validate software, Provide project support on the statistics reporting process and Leading the development of in-house programming standardsREQUIREMENTSAt least 7+ years SAS Programming experience.Bachelor’s Degree or equivalent in Mathematics, Statistics, Computer Science (Masters Degree is a decided advantage)Recent expertise in full oversite and Leading a studySignificant CDISC compliance exposureExpert knowledge in SAS/Macro, Proc Report, and ODS.Unparalleled communication skills and the ability to lead/influence othersBe a real life “self-starter”ABOUT i-PHARM CONSULTINGi-Pharm Consulting is a specialist Recruitment Company servicing the Pharmaceutical industry in the USA, Europe and Asia Pac. We provide both permanent and contract staff to a wide range of Pharmaceutical, Medical Device, Biotechnology and Contract Research Organisations (CROs). i-Pharm has specific expertise in Clinical Research, Medical Affairs, Regulatory Affairs, Pharmacovigilance, Quality Assurance and Bioinformatics.www.i-pharmconsulting.comTO APPLYIf you would like to discuss this vacancy further, please call Practice Lead David Fearnley on +1 (718) 514-9604. If this role is not suitable, David is also available to discuss other possible positions or answer any general questions regarding your career and the current market.KEY WORDSSenior Statistical Programmer / Snr Stats Programmer / Senior SAS Programmer / CDISC / SDTM / ADaM / CRO / Clinical / Research / Statistical / Programmer / GCP / Projects / SAS / BASE / STAT / GRAPH / MACRO / Stats / Home based / Data / Data sets / Lead / Therapy / Clients / Meetings / Maintenance / Continues ImprovementJob Type: Full-timeExperience:SAS Programming: 7 years (Required)Work authorization:United States (Required)"
"1572882774-1809","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Course Developers - Data Analytics/Business Analytics/Inform...","https://www.indeed.com/rc/clk?jk=ccfc3f46ffd8e83d&fccid=424061ec4a3c81d4&vjs=3","Course Developers - Data Analytics/Business Analytics/Information Systems - Norwich University","Norwich University","3.9 out of 5","","","59","Norwich University59 reviews-Northfield, VT 05663","Location: Northfield, VT Category: Administrative /Manager /Professional Posted On: Fri Oct 11 2019 Job Description:

Norwich University's College of Graduate & Continuing Studies seeks individuals qualified to develop and possibly teach online undergraduate and graduate courses in Data Analytics, Business Analytics, and Information Systems. The courses will serve as core requirements in both bachelor's and master's degree programs offered online by the College.
Areas in which courses will be developed include Algorithm Design & Analysis; Artificial Intelligence & Deep Learning; Data & Web Mining; Data Visualization; and Predictive Analytics among others.
Training will be provided to new course developers and instructors. Course developers work as part of a team that includes instructional designers and developers, media specialists, digital librarians, and academic program leaders.
Course development is done on a contract basis, as is online teaching.


Job Requirements:

Minimum of a master's degree (doctorate preferred) in data science, mathematics, or computer science from a regionally accredited college or university;

Knowledge of the mathematical and computer science foundations of data science and information systems;

Experience in the use of data science in any sector;

Experience developing or teaching online courses at the post-secondary level preferred.


Additional Information:

Norwich University is an Equal Opportunity Employer and is committed to providing a positive education and work environment that recognizes and respects the dignity of all students, faculty and staff. Reasonable accommodations will be made for the known disability of an otherwise qualified applicant. Please contact the Office of Human Resources at nuhr@norwich.edu for assistance."
"1572882764-1805","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","","","","","","null","","","",""
"1572882769-1807","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Administrative Assistant - School of Cyber Security, Data Sc...","https://www.indeed.com/rc/clk?jk=9fd30f6da23ea33f&fccid=424061ec4a3c81d4&vjs=3","Administrative Assistant - School of Cyber Security, Data Science & Computing - Norwich University","Norwich University","3.9 out of 5","","","59","Norwich University59 reviews-Northfield, VT 05663","Location: Northfield, VT Category: Administrative Support Posted On: Mon Oct 21 2019 Job Description:

This newly formed position fulfills the mission of Norwich University by providing administrative support to the director, faculty, and students receiving instruction in the School of Cybersecurity, Data Science, and Computing. The Administrative Assistant of the School often plays a critical role as the first point of contact for visitors and students navigating the systems of the University and connecting with faculty when in need of assistance. This position is year round, 4 days/week.
Essential Functions
Provides front office support for students, visitors, and university personnel visiting or calling the School's main offices.
Provides a bridge of communication with the other school assistants, the College's office manager, or and other university staff.
Schedules school-level meetings.
Communicates with colleagues, employees, students, and others in a respectful and clear manner.
Manages the flow of procedural paperwork for student petitions, faculty development requests, curriculum changes/corrections/adjustments, as needed by the school.
Runs budget reports and Argos reports, as requested/needed by the director.
Facilitates the purchase of office supplies, initiate purchase requisitions and payments as needed for vendors.
Tracks expenditures to assist the director with budget management.
Assists the director with course scheduling with regard to communication with faculty and students, adjunct faculty, and room scheduling.
Registers new students for courses during the summer and assist current/returning students with registration as needed during the pre-registration periods in the fall and spring terms.
Inputs faculty data, instructor assignments, course restrictions, and schedule changes in Banner as directed by the director or dean.
Supports the work of the faculty and director toward recruiting.
Completes required staff training, both occasional and recurring as required by University policy or by assignment.
Assist the director with travel arrangements as may be needed for business-related travel.
Secondary Functions
Records (time permitting), filing, and disseminating the minutes of school-level meetings.
Supports the scheduling, and meeting arrangements for the two Board of Fellows visiting committee.
Performs other tasks, supporting student instruction and safety, as assigned by supervisor.
Manages work study students as may be needed in support of school office functions including timecard approvals.


Job Requirements:

Education: Minimum of an associate's degree, bachelor's degree preferred

Experience: Minimum 2 years of administrative support experience in an educational or professional setting
Must be able to use computers, telephone, and general office equipment; must be able to develop proficiency in systems used at Norwich (Banner Argos, eTime); and communicate effectively and professionally by telephone, email, letter, or in person.


Additional Information:

Norwich University is an Equal Opportunity Employer and is committed to providing a positive education and work environment that recognizes and respects the dignity of all students, faculty, and staff. Norwich University takes positive action to ensure that all applicants for employment are considered, and employees are treated in compliance with applicable laws and regulations governing non-discrimination on the basis of gender, gender identity, race, ethnicity, national origin, color, religion, disability, sexual orientation, age, genetic information or veteran's status. Reasonable accommodations will be made for the known disability of an otherwise qualified applicant. Please contact the Office of Human Resources at nuhr@norwich.edu for assistance.
All candidates must be a US Citizen/Permanent Resident or otherwise legally eligible to work in the US without sponsorship now or in the future. A post offer, pre-employment background check will be required of the successful candidate."
"1572882785-1814","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbOagL8aqw3GCN5XEneeaPzF3exNxv99E_w_iKdr54xjpYbURBUXtjXso-tjgagrVH8ApA29CXP3y6n8K8TgdDUaiEqlegRxJ7RLC-mtMXXq-HBPAL3XoFosgkVdGHn3mfiwVjbw5T5IVQQQtG000JP0HgLn2Xp_fEh4uGKgnMXXB5-xlNS0cL7KlwsQEjLxgBw4rdiAZo3wBkb7yiIK9EV2pIyz-xfVKZpbEFUokKC3rW-P9wUhEzRkp-tdJJKDxGDr9f63odE-PEF4H1ISEkmh6M27ok8B-0977NAC2EB-xdaxwbSpR6SuMyqELoLttSQ9lYGHCx23-zur2P-O5jK6OizfgQLeiUypFW95tmu3kdcFG7g_Er_Xr_lb5z3AR7a6F295UnH0-hTNl2zFT9HcuEvmUBNt19KkxllwQMs5ciGlYk0v1LqugeArIK3x-ySeyla5yNLs9ZpxBk5BAb&p=1&fvj=1&vjs=3","Principal Statistician - TOP 5 GLOBAL PHARMA - 100% Remote","i-Pharm Consulting","null","","","null","i-Pharm Consulting-United States","The Principal Statistician is responsible for developing statistical solutions to optimally support all phases of clinical trials and decision making. The successful candidate will function as the study statistician and be accountable for study level deliverables. The role will include key trial statistician responsibilities including statistical design, authoring of SAPs, and conducting just-in-time analyses and data exploration. Industry experience is preferred.Responsibilities:Act as the primary point of contact for all statistical analysis and development; working as a lead of both Statisticians and Programmers on study and database designDevelop guidelines for drafting SAPs and creating statistical models for study insightsReview and at times create specs for programmers following CDISC guidelinesProvides leadership to junior staff regarding synopsis, protocol, SAPs, clinical study report, and other regulatory submission documentsIdentify and interact with external statistical experts for issues related to study design, methodology and resultsStay up-to-date with Biomarker applications and statistical methodologyAbility to build powerful networks within and outside the company and use these relationships to achieve support for the planning and implementation of innovative approaches.Define strategy around managing CRO and vendor delivery timelineDevelop and automate statistical analysis and visualization tools for scientists and other statisticians.Qualifications:PhD in statistics or related field with preferably 1-3 years of relevant pharmaceutical research experience with high-dimensional biomarker data from clinical trials, or Masters in statistics or related field with at least 5 years of relevant experience and demonstrated potential of applying advanced statistical methods.Strong statistical foundation with a wide breadth of interest and expertise in classical and modern statistical and machine learning methods.Ability to apply innovative and fit-for-purpose statistical methods to the analysis of biomarker and high dimensional data from clinical trials.Strong programming skills in R, with demonstrated potential to develop and automate analysis scripts and tools for broader use.Excellent interpersonal and communication skills, with strong potential to build and maintaining strong working relationships.Ability to explain complex statistical concepts in simple and practical terms to non-statisticians.Job Type: Full-timeSalary: $130,000.00 to $150,000.00 /yearExperience:Oncology: 1 year (Preferred)Biostatistics: 7 years (Required)"
"1572882776-1810","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","Data Scientist - Nationwide Opportunities","https://www.indeed.com/rc/clk?jk=2ffbedec4d7a6db6&fccid=fe2d21eef233e94a&vjs=3","Data Scientist - Nationwide Opportunities","Amazon Web Services, Inc.","3.6 out of 5","","","39,645","Amazon Web Services, Inc.39,645 reviews-Vermont","A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience4+ years of industry experience in predictive modeling, data science and analysisPrevious experience in a ML or data scientist role and a track record of building ML or DL modelsExperience using Python and/or RExperience using ML libraries, such as scikit-learn, caret, mlr, mllibExperience in writing and tuning SQLExperience with SparkMLExperience working with GPUs to develop modelExperience handling terabyte size datasetExperience using data visualization tools


Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)? Eager to learn from many different enterprise’s use cases of AWS ML and DL? Zealous to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the world’s AI technology?



At Amazon Web Services (AWS), we are helping large enterprises build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our AWS customers to address their business needs using AI.



AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, we’d like to have you on our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.



This role will focus specifically on AWS’ most complex and largest customers in the world to help solve a wide range of business problems. Consultants will provide deep and broad insight to customers and partners to help remove constraints that prevent them from leveraging AWS services to create strategic value.



A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI.



Major responsibilities include:

Understand the customer’s business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.Assist customers with identifying model drift and retraining models.Research and implement novel ML and DL approaches, including using FPGA.
This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.



Note: If you do not live in a market where we have an open Data Scientist position, please feel free to apply. Our Data Scientists can live in any location that has an AWS office.


PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)4+ years of industry experience in predictive modeling and analysisSkills with programming languages, such as Java or C/C++Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsConsulting experience and track record of helping customers with their AI needsPublications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferencesExperience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMRCombination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organizationDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environmentExperience diving into data to discover hidden patternsAble to write production level code, which is well-written and explainable

Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age."
"1572882778-1811","https://www.indeed.com/jobs?q=data+scientist&l=Vermont&radius=0","SENIOR DATA SCIENTIST","https://www.indeed.com/rc/clk?jk=8e58187c3f403d1c&fccid=d81bbfe26fad932d&vjs=3","SENIOR DATA SCIENTIST","IXIS","null","","","null","IXIS-Burlington, VT 05401","IXIS is seeking an energetic and innovative quantitative researcher with expertise in classical statistics and predictive modeling and a proven ability to execute data-driven initiatives to fill the position of Senior Data Scientist for the company. This is an onsite position located in Burlington, VT. The core responsibilities for this role include leading the design of sophisticated and creative quantitative solutions—frequently through integration of novel data sources—and executing these solutions programmatically/reproducibly within a team environment. This team member must be able to provide realistic estimates for hours and timelines needed to produce deliverables. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling (using R or Python) with strong critical thinking and “data IQ” skills to translate client questions into quantitative approaches that produce actionable insights.

Responsibilities:
Design and execute quantitative analyses to extract actionable insights that directly address client needs and questions
Import, clean, integrate, explore, and visualize large datasets to support ongoing research projects and ad hoc client requests
Use R/Python and other software tools (SQL, Rmarkdown, git, and others) to ensure that quantitative analyses are reproducible and extensible
Work with data engineers to plan, implement, and automate integration of external data sources across a variety of architectures, including local databases, web APIs, CRM systems, etc.
Work with our quantitative and development teams to design and implement automated data analysis and predictive modeling technologies in support of client deliverables
Participate in quantitative requirements meetings to build supporting evidence for retail and digital strategies
Collaborate with technical, development, database and QA engineers
Prioritize multiple tasks intelligently and maintain clear lines of communication with supervisor, team, and clients
Required Skills and Experience:
B.A./B.S. in Computer Science; or B.A./B.S. in a quantitative area (such as Statistics, Mathematics, Data Science or Economics) with a minor (or equivalent experience) in Computer Science. Post-graduate degree preferred. Commensurate professional experience will be considered
2+ years’ professional experience with programmatic data analysis and visualization using R/Python and common packages (tidyverse, ggplot2, data.table, NumPy, Pandas); must be adept at writing your own functions and using common programming idioms for analyzing data
Experience working with real-world datasets, including database queries, data aggregation, record linkage, data cleaning/reshaping/management, and descriptive data analysis; data visualization and automated reporting experience preferred
Excellent attention to detail, critical thinking skills, and a systematic and creative approach to problem-solving, with strong data intuition
Ability to work well with a team and on a deadline
Self-motivated to develop and learn new skills
Desired Skills and Experience:
Formal training in research design (experimental and non-experimental) and statistical testing, including classical significance tests, linear models, survival analysis, and timeseries
Experience with digital analytics (such as Google Analytics or Adobe Analytics) and e-commerce/marketing fundamentals
About This Company:


Founded in 2012, IXIS is rooted in innovative processes for data-driven digital experience and strategic online planning. Our mission is to integrate and synchronize traditional and digital marketing initiatives to recalibrate and connect brands across converging media. We offer competitive compensation packages, flexible work schedule, and exceptional growth opportunities."
